sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-69826-00001,"['18493']",44.636981,-124.305867,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2015-08-02 05:30:00,2016-07-21T00:00:00,ATOSU-69826-00002,"['19003']",44.637185,-124.305903,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-69826-00001,"['18493']",44.637145,-124.305863,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-69826-00002,"['19003']",44.637179,-124.305949,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2018-06-30 02:30:00,2019-06-19T23:31:00,ATOSU-69826-00003,"['22115']",44.637131,-124.30592,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-69826-00001,"['18493']",44.637156,-124.305859,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-69826-00002,"['19003']",44.637163,-124.305867,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-69826-00001,"['18493']",44.637194,-124.305837,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2022-08-19 05:55:00,2023-08-14T19:20:00,ATOSU-69826-00002,"['19003']",44.637213,-124.305724,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2023-08-22 14:50:00,2024-08-15T20:13:00,ATOSU-69826-00001,"['18493']",44.637204,-124.305715,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2024-08-19 14:55:00,2025-08-15T00:20:00,ATOSU-69826-00002,"['19003']",44.637221,-124.305729,none,none
ADCPTB,CE02SHBP-LJ01D-05-ADCPTB104,2025-08-28 15:17:00,nan,ATOSU-69826-00003,"['22115']",44.637213,-124.305724,none,none
