sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2014-09-29 01:53:00,2015-07-06T00:00:00,ATAPL-58315-00003,"['18980']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00003__20140929.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2015-07-07 16:12:00,2016-07-17T00:00:00,ATAPL-58315-00004,"['23338']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00004__20150707.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2016-07-18 00:19:00,2017-07-28T03:00:00,ATAPL-58315-00003,"['18980']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00003__20160718.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2017-08-04 19:30:00,2018-06-24T02:00:00,ATAPL-58315-00004,"['23338']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00004__20150707.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2018-06-24 02:00:00,2019-06-14T05:26:00,ATAPL-58315-00003,"['18980']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00003__20160718.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-58315-00004,"['23338']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00004__20150707.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-58315-00001,"['18478']",44.528879,-125.389741,none,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2021-08-24 16:56:08,2022-09-02T20:45:00,ATAPL-58315-00004,"['23338']",44.528879,-125.389741,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00004__20150707.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2022-09-15 15:32:00,2023-08-17T01:24:00,ATAPL-58315-00005,"['23339']",44.528953,-125.389591,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00005__20150709.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2023-08-17 20:49:00,2024-08-09T06:35:00,ATAPL-58315-00004,"['23338']",44.528953,-125.389591,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00004__20150707.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2024-08-09 20:17:00,2025-08-05T14:30:00,ATAPL-58315-00005,"['23339']",44.528953,-125.389591,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00005__20150709.csv,none
ADCPTD,RS01SBPS-PC01A-05-ADCPTD102,2025-08-12 15:45:00,nan,ATAPL-58315-00004,"['23338']",44.528953,-125.389591,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00004__20150707.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2014-09-27 13:29:00,2015-07-09T00:00:00,ATAPL-58315-00002,"['18974']",45.830481,-129.753284,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00002__20140927.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2015-07-09 00:07:00,2016-07-14T00:00:00,ATAPL-58315-00005,"['23339']",45.830481,-129.753284,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00005__20150709.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2016-07-14 21:18:00,2017-07-30T14:00:00,ATAPL-58315-00002,"['18974']",45.830481,-129.753284,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00002__20160714.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2017-07-31 04:00:00,2018-07-02T20:30:00,ATAPL-58315-00005,"['23339']",45.830481,-129.753284,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00005__20150709.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2019-06-14 13:26:00,2020-08-04T18:59:10,ATAPL-58315-00002,"['18974']",45.83047,-129.753198,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00002__20160714.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2020-08-05 15:16:07,2021-08-03T01:26:00,ATAPL-58315-00003,"['18980']",45.83047,-129.753198,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00003__20160718.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2021-08-04 18:00:00,2022-08-12T00:38:00,ATAPL-58315-00002,"['18974']",45.83047,-129.753198,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00002__20160714.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2022-08-13 00:57:00,2023-08-25T13:14:00,ATAPL-58315-00003,"['18980']",45.83047,-129.753198,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00003__20160718.csv,none
ADCPTD,RS03AXPS-PC03A-05-ADCPTD302,2023-08-26 05:50:00,2024-08-11T15:42:00,ATAPL-58315-00002,"['18974']",45.83047,-129.753198,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTD/ATAPL-58315-00002__20160714.csv,none
