sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2014-08-04 04:11:55,2015-07-05T00:00:00,ATAPL-68073-00002,"['18813']",44.515212,-125.389836,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00002__20140804.csv,none
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2015-07-06 22:32:58,2016-07-16T00:00:00,ATAPL-68073-00004,"['23442']",44.515179,-125.389881,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00004__20150706.csv,none
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2016-07-17 02:10:00,2017-07-29T04:00:00,ATAPL-68073-00002,"['18813']",44.515203,-125.38985,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00002__20160717.csv,none
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2017-07-29 19:00:00,2020-08-03T04:08:00,ATAPL-68073-00004,"['23442']",44.515242,-125.389962,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00004__20150706.csv,none
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2020-08-04 16:00:00,2023-08-17T02:02:00,ATAPL-68073-00002,"['18813']",44.515229,-125.389891,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00002__20160717.csv,none
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2023-08-18 14:33:00,2026-08-11T14:46:00,ATAPL-68073-00003,"['19224']",44.515229,-125.389953,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00003__20160712.csv,none
ADCPTE,RS01SLBS-LJ01A-10-ADCPTE101,2026-08-11 23:02:00,nan,ATAPL-68073-00002,"['18813']",44.515244,-125.389956,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00002__20160717.csv,none
ADCPTE,RS03AXBS-LJ03A-10-ADCPTE303,2014-08-05 06:18:00,2015-06-13T00:00:00,ATAPL-68073-00003,"['19224']",45.816802,-129.754157,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00003__20140805.csv,none
ADCPTE,RS03AXBS-LJ03A-10-ADCPTE303,2015-07-13 05:24:00,2016-07-11T00:00:00,ATAPL-68073-00005,"['23443']",45.816869,-129.754362,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00005__20150713.csv,none
ADCPTE,RS03AXBS-LJ03A-10-ADCPTE303,2016-07-12 00:00:00,2017-07-31T01:00:00,ATAPL-68073-00003,"['19224']",45.816778,-129.754181,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00003__20140805.csv,none
ADCPTE,RS03AXBS-LJ03A-10-ADCPTE303,2017-07-31 22:30:00,2022-08-27T23:46:00,ATAPL-68073-00005,"['23443']",45.816791,-129.754125,https://github.com/oceanobservatories/asset-management/blob/master/calibration/ADCPTE/ATAPL-68073-00005__20150713.csv,none
ADCPTE,RS03AXBS-LJ03A-10-ADCPTE303,2022-08-29 22:40:00,nan,ATAPL-68073-00001,"['18471']",45.816873,-129.754181,none,none
