sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
CAMDS,CE02SHBP-MJ01C-08-CAMDSB107,2020-08-13 19:50:00,2021-08-04T20:20:00,ATAPL-78437-00006,"['SUBC19006', 'SUBC19977', 'SUBC19983', 'SUBC18916', 'SUBC18919']",44.63721,-124.305458,none,none
CAMDS,CE02SHBP-MJ01C-08-CAMDSB107,2021-08-23 19:27:00,2024-08-15T20:21:00,ATAPL-78437-00009,"['SUBC20116', 'SUBC19048', 'SUBC20140', 'SUBC19014', 'SUBC19022']",44.637186,-124.305493,none,none
CAMDS,CE02SHBP-MJ01C-08-CAMDSB107,2024-08-19 14:55:00,2025-08-27T05:15:00,ATAPL-78437-00010,"['SUBC20117', 'SUBC20160', 'SUBC20159', 'SUBC19011', 'SUBC19023']",44.637202,-124.30544,none,none
CAMDS,CE02SHBP-MJ01C-08-CAMDSB107,2025-08-28 12:54:00,2026-08-09T22:42:00,ATAPL-78437-00009,"['SUBC20116', 'SUBC19048', 'SUBC20140', 'SUBC19014', 'SUBC19022']",44.637138,-124.305478,none,none
CAMDS,CE02SHBP-MJ01C-08-CAMDSB107,2026-08-10 01:55:00,,ATAPL-78437-00010,"['SUBC20117', 'SUBC20160', 'SUBC20159', 'SUBC19011', 'SUBC19023']",44.637186,-124.305493,none,none
CAMDS,CE04OSBP-LV01C-06-CAMDSB106,2020-08-19 07:04:20,2021-08-04T20:20:00,ATAPL-78437-00005,"['SUBC19005', 'SUBC19974', 'SUBC19976', 'SUBC18918', 'SUBC18915']",44.369336,-124.953886,none,none
CAMDS,CE04OSBP-LV01C-06-CAMDSB106,2021-08-23 22:54:08,2023-08-15T05:03:00,ATAPL-78437-00013,"['SUBC20120', 'SUBC20161', 'SUBC20145', 'SUBC20105', 'SUBC20115']",44.369365,-124.953867,none,none
CAMDS,CE04OSBP-LV01C-06-CAMDSB106,2023-08-16 19:23:00,2024-08-20T00:20:00,ATAPL-78437-00005,"['SUBC19005', 'SUBC19974', 'SUBC19976', 'SUBC18918', 'SUBC18915']",44.369364,-124.953919,none,none
CAMDS,CE04OSBP-LV01C-06-CAMDSB106,2024-08-20 17:44:00,2025-08-27T19:15:00,ATAPL-78437-00013,"['SUBC20120', 'SUBC20161', 'SUBC20145', 'SUBC20105', 'SUBC20115']",44.36938,-124.953923,none,none
CAMDS,CE04OSBP-LV01C-06-CAMDSB106,2025-08-28 00:00:00,2026-08-10T18:32:00,ATAPL-78437-00005,"['SUBC19005', 'SUBC19974', 'SUBC19976', 'SUBC18918', 'SUBC18915']",44.369372,-124.953863,none,none
CAMDS,CE04OSBP-LV01C-06-CAMDSB106,2026-08-10 23:29:00,,ATAPL-78437-00001,"['SUBC18830', 'SUBC18825', 'SUBC18826', 'SUBC18901', 'SUBC18907']",44.369404,-124.953865,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-78437-00004,"['SUBC18833', 'SUBC18837', 'SUBC18838', 'SUBC18906', 'SUBC18908']",44.528879,-125.389741,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-78437-00001,"['SUBC18830', 'SUBC18825', 'SUBC18826', 'SUBC18901', 'SUBC18907']",44.528879,-125.389741,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2021-08-24 16:56:08,2022-09-02T20:45:00,ATAPL-78437-00004,"['SUBC18833', 'SUBC18837', 'SUBC18838', 'SUBC18906', 'SUBC18908']",44.528879,-125.389741,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2022-09-15 15:32:00,2023-08-17T01:24:00,ATAPL-78437-00008,"['SUBC19008', 'SUBC19032', 'SUBC19033', 'SUBC18913', 'SUBC18928']",44.528953,-125.389591,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2023-08-17 20:49:00,2024-08-09T06:35:00,ATAPL-78437-00004,"['SUBC18833', 'SUBC18837', 'SUBC18838', 'SUBC18906', 'SUBC18908']",44.528953,-125.389591,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2024-08-09 20:17:00,2025-08-05T14:30:00,ATAPL-78437-00001,"['SUBC18830', 'SUBC18825', 'SUBC18826', 'SUBC18901', 'SUBC18907']",44.528953,-125.389591,none,none
CAMDS,RS01SBPS-PC01A-07-CAMDSC102,2025-08-12 15:45:00,,ATAPL-78437-00011,"['SUBC20118', 'SUBC20158', 'SUBC19980', 'SUBC20100', 'SUBC20103']",44.528953,-125.389591,none,none
CAMDS,RS01SUM2-MJ01B-05-CAMDSB103,2020-08-19 23:32:45,2021-08-14T13:18:04,ATAPL-78437-00007,"['SUBC19007', 'SUBC19034', 'SUBC19035', 'SUBC18926', 'SUBC18930']",44.570033,-125.146708,none,none
CAMDS,RS01SUM2-MJ01B-05-CAMDSB103,2021-08-14 23:00:19,2023-08-26T20:09:00,ATAPL-78437-00011,"['SUBC20118', 'SUBC20158', 'SUBC19980', 'SUBC20100', 'SUBC20103']",44.569998,-125.146713,none,none
