sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2013-08-01 00:00:00,2015-07-08T00:00:00,ATAPL-70248-00001,"['13115', '12108', '12110', '70502']",45.933605,-130.013628,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2015-07-09 13:28:24,2016-07-26T21:18:00,ATAPL-70248-00002,"['13114', '12099', '12100', '70501']",45.933643,-130.013642,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2016-07-27 05:49:19,2017-08-13T23:30:00,ATAPL-70248-00001,"['13115', '12108', '12110', '70502']",45.933643,-130.013642,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2017-08-14 07:00:00,2018-07-04T00:00:00,ATAPL-70248-00002,"['13114', '12099', '12100', '70501']",45.933643,-130.013642,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2018-07-04 00:00:00,2019-06-16T05:56:00,ATAPL-70248-00002,"['13114', '12099', '12100', '70501']",45.933643,-130.013636,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2019-06-16 22:02:00,2020-08-06T04:06:00,ATAPL-70248-00002,"['13114', '12099', '12100', '70501']",45.933643,-130.013636,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2020-08-06 14:11:00,2021-08-27T21:51:00,ATAPL-70248-00001,"['13115', '12108', '12110', '70502']",45.933643,-130.013636,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2021-08-29 00:15:00,2023-08-26T05:25:00,ATAPL-70248-00002,"['13114', '12099', '12100', '70501']",45.933643,-130.013636,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2023-08-26 11:30:00,2024-08-12T02:22:00,ATAPL-70248-00001,"['13115', '12108', '12110', '70502']",45.933591,-130.013595,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2024-08-12 10:16:00,2025-08-08T05:10:00,ATAPL-70248-00002,"['13114', '12099', '12100', '70501']",45.933591,-130.013595,none,none
CAMHDA,RS03ASHS-PN03B-06-CAMHDA301,2025-08-08 21:34:00,nan,ATAPL-70248-00001,"['13115', '12108', '12110', '70502']",45.933643,-130.013636,none,none
