sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-69827-00003,"['16P71879-7248']",44.636981,-124.305867,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00003__20131207.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00003__20131207.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2015-08-02 05:30:00,2016-07-21T00:00:00,ATOSU-69827-00002,"['16-50114']",44.637185,-124.305903,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00002__20150409.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00002__20150409.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-69827-00003,"['16P71879-7248']",44.637145,-124.305863,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00003__20160315.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00003__20160315.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-69827-00002,"['16-50114']",44.637179,-124.305949,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00002__20170202.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00002__20170202.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2018-06-30 02:30:00,2019-06-19T23:31:00,ATOSU-69827-00001,"['16P71176-7230']",44.637131,-124.30592,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00001__20171025.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00001__20171025.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-69827-00002,"['16-50114']",44.637156,-124.305859,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00002__20180823.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00002__20180823.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-69827-00001,"['16P71176-7230']",44.637163,-124.305867,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00001__20190911.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00001__20190911.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-69827-00002,"['16-50114']",44.637194,-124.305837,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00002__20200929.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00002__20200929.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2022-08-19 05:55:00,2023-08-14T19:20:00,ATOSU-69827-00003,"['16P71879-7248']",44.637213,-124.305724,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00003__20211114.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00003__20211114.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2023-08-22 14:50:00,2024-08-15T20:13:00,ATOSU-69827-00002,"['16-50114']",44.637204,-124.305715,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATOSU-69827-00002__20230617.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATOSU-69827-00002__20230617.xmlcon
CTDBPN,CE02SHBP-LJ01D-06-CTDBPN106,2024-08-19 14:55:00,nan,ATAPL-69827-10005,"['16-50635']",44.637221,-124.305729,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPN/ATAPL-69827-10005__20240609.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPN/ATAPL-69827-10005__20240609.xmlcon
