sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2014-08-15 00:12:00,2015-08-02T00:00:00,ATOSU-69828-00001,"['16P71176-7231']",44.369556,-124.953745,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00001__20131207.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00001__20131207.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2015-08-03 22:00:00,2016-07-21T00:00:00,ATOSU-69828-00002,"['16P71879-7249']",44.369584,-124.953712,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00002__20131207.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00002__20131207.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2016-07-22 22:50:00,2017-08-10T04:00:00,ATOSU-69828-00001,"['16P71176-7231']",44.369406,-124.95364,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00001__20160312.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00001__20160312.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2017-08-10 16:00:00,2018-06-25T00:00:00,ATOSU-69828-00002,"['16P71879-7249']",44.369419,-124.953576,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00002__20170202.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00002__20170202.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2018-06-25 00:00:00,2019-06-19T04:17:00,ATOSU-69828-00001,"['16P71176-7231']",44.369475,-124.953706,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00001__20171109.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00001__20171109.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2019-06-23 22:52:00,2020-08-18T23:40:00,ATOSU-69828-00002,"['16P71879-7249']",44.369458,-124.953638,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00002__20180814.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00002__20180814.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2020-08-19 02:23:26,2021-08-04T20:20:00,ATOSU-69828-00001,"['16P71176-7231']",44.369397,-124.953617,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00001__20190912.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00001__20190912.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2021-08-23 22:54:08,2022-08-19T06:13:00,ATOSU-69828-00002,"['16P71879-7249']",44.369386,-124.953624,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00002__20200929.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00002__20200929.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2022-08-20 02:22:00,2023-08-15T05:00:00,ATOSU-69828-00001,"['16P71176-7231']",44.369259,-124.953508,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00001__20211020.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00001__20211020.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2023-08-29 00:50:00,2024-08-15T07:25:00,ATOSU-69828-00002,"['16P71879-7249']",44.369344,-124.953542,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00002__20221028.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00002__20221028.cal
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2024-08-22 15:10:00,2025-08-27T19:23:00,ATOSU-69828-00001,"['16P71176-7231']",44.369399,-124.953689,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00001__20240216.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00001__20240216.xmlcon
CTDBPO,CE04OSBP-LJ01C-06-CTDBPO108,2025-08-28 03:38:00,nan,ATOSU-69828-00003,"['16-50117']",44.369259,-124.953508,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDBPO/ATOSU-69828-00003__20250227.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/CTDBPO/ATOSU-69828-00003__20250227.xmlcon
