sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2014-08-30 09:16:00,2015-08-02T00:00:00,ATOSU-66662-00006,"['16-50018']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00006__20140214.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00006__20140214.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2015-08-03 05:41:00,2016-07-18T00:00:00,ATOSU-66662-00014,"['16-50113']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00014__20150412.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00014__20150412.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-66662-00006,"['16-50018']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00006__20160301.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00006__20160301.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-66662-00014,"['16-50113']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00014__20170119.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00014__20170119.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-66662-00006,"['16-50018']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00006__20170825.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00006__20170825.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-66662-00014,"['16-50113']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00014__20180810.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00014__20180810.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2020-08-02 19:43:56,2021-08-04T20:20:00,ATOSU-66662-00006,"['16-50018']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00006__20190824.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00006__20190824.xmlcon
CTDPFA,CE04OSPS-PC01B-4A-CTDPFA109,2021-08-24 17:11:39,nan,ATOSU-66662-00014,"['16-50113']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00014__20200910.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00014__20200910.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-66662-00007,"['16-50019']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00007__20140214.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00007__20140214.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2015-08-03 02:21:00,2016-07-18T00:00:00,ATOSU-66662-00013,"['16-50112']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00013__20150412.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00013__20150412.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-66662-00007,"['16-50019']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00007__20160301.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00007__20160301.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-66662-00013,"['16-50112']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00013__20170119.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00013__20170119.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-66662-00007,"['16-50019']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00007__20170830.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00007__20170830.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-66662-00013,"['16-50112']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00013__20180811.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00013__20180811.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2020-08-02 19:43:56,2020-08-22T00:11:00,ATOSU-66662-00007,"['16-50019']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00007__20190822.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00007__20190822.xmlcon
CTDPFA,CE04OSPS-SF01B-2A-CTDPFA107,2021-08-24 17:11:39,nan,ATOSU-66662-00013,"['16-50112']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATOSU-66662-00013__20200918.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATOSU-66662-00013__20200918.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2014-09-29 01:53:00,2015-07-06T00:00:00,ATAPL-66662-00001,"['16P65795-6914']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00001__20140605.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00001__20140605.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2015-07-07 16:12:00,2016-07-17T00:00:00,ATAPL-66662-00009,"['16-50118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00009__20150419.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00009__20150419.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2016-07-18 00:19:00,2017-07-28T03:00:00,ATAPL-66662-00001,"['16P65795-6914']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00001__20160227.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00001__20160227.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2017-08-04 19:30:00,2018-06-24T02:00:00,ATAPL-66662-00009,"['16-50118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00009__20170119.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00009__20170119.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2018-06-24 02:00:00,2019-06-14T05:26:00,ATAPL-66662-00001,"['16P65795-6914']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00001__20170824.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00001__20170824.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-66662-00009,"['16-50118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00009__20180814.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00009__20180814.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-66662-00001,"['16P65795-6914']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00001__20190823.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00001__20190823.xmlcon
CTDPFA,RS01SBPS-PC01A-4A-CTDPFA103,2021-08-24 16:56:08,nan,ATAPL-66662-00009,"['16-50118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00009__20200917.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00009__20200917.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2014-09-29 04:43:00,2015-07-06T00:00:00,ATAPL-66662-00002,"['16P71179-7205']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00002__20140528.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00002__20140528.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2015-07-07 20:47:00,2016-07-17T00:00:00,ATAPL-66662-00008,"['16-50115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00008__20150412.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00008__20150412.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2016-07-18 00:19:00,2017-07-28T03:00:00,ATAPL-66662-00002,"['16P71179-7205']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00002__20160303.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00002__20160303.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2017-08-04 19:30:00,2018-06-24T02:00:00,ATAPL-66662-00008,"['16-50115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00008__20170125.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00008__20170125.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2018-06-24 02:00:00,2018-07-09T12:00:00,ATAPL-66662-00002,"['16P71179-7205']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00002__20170915.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00002__20170915.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2018-07-09 12:00:00,2019-06-14T05:26:00,ATAPL-66662-00003,"['16P71179-7232']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00003__20170905.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00003__20170905.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-66662-00008,"['16-50115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00008__20180822.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00008__20180822.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-66662-00002,"['16P71179-7205']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00002__20190824.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00002__20190824.xmlcon
CTDPFA,RS01SBPS-SF01A-2A-CTDPFA102,2021-08-24 16:56:08,nan,ATAPL-66662-00005,"['16P71179-50030']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00005__20201004.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00005__20201004.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2014-09-27 13:29:00,2015-07-09T00:00:00,ATAPL-66662-00004,"['16P71179-7233']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00004__20140528.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00004__20140528.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2015-07-09 00:07:00,2016-07-14T00:00:00,ATAPL-66662-00011,"['16-50123']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00011__20150503.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00011__20150503.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2016-07-14 21:18:00,2017-07-30T14:00:00,ATAPL-66662-00004,"['16P71179-7233']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00004__20160227.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00004__20160227.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2017-07-31 04:00:00,2018-07-02T20:30:00,ATAPL-66662-00011,"['16-50123']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00011__20170125.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00011__20170125.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2019-06-14 13:26:00,2020-08-04T18:59:10,ATAPL-66662-00011,"['16-50123']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00011__20180811.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00011__20180811.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2020-08-05 15:16:07,2021-08-03T01:26:00,ATAPL-66662-00004,"['16P71179-7233']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00004__20190907.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00004__20190907.xmlcon
CTDPFA,RS03AXPS-PC03A-4A-CTDPFA303,2021-08-04 18:00:00,nan,ATAPL-66662-00011,"['16-50123']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00011__20200927.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00011__20200927.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2014-09-27 18:33:00,2015-07-09T00:00:00,ATAPL-66662-00003,"['16P71179-7232']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00003__20140528.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00003__20140528.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2015-07-09 04:16:00,2016-07-14T00:00:00,ATAPL-66662-00010,"['16-50122']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00010__20150503.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00010__20150503.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2016-07-14 21:18:00,2017-07-30T14:00:00,ATAPL-66662-00003,"['16P71179-7232']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00003__20160405.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00003__20160405.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2017-07-31 04:00:00,2018-07-02T20:30:00,ATAPL-66662-00010,"['16-50122']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00010__20170304.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00010__20170304.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2019-06-14 13:26:00,2020-08-04T18:59:10,ATAPL-66662-00010,"['16-50122']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00010__20180810.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00010__20180810.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2020-08-05 15:16:07,2021-08-03T01:26:00,ATAPL-66662-00003,"['16P71179-7232']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00003__20190824.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00003__20190824.xmlcon
CTDPFA,RS03AXPS-SF03A-2A-CTDPFA302,2021-08-04 18:00:00,nan,ATAPL-66662-00010,"['16-50122']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFA/ATAPL-66662-00010__20200920.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFA/ATAPL-66662-00010__20200920.xmlcon
