sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2014-08-27 09:16:45,2015-07-05T00:00:00,ATAPL-67627-00002,"['16P71179-7234']",44.515267,-125.389809,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00002__20140528.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00002__20140528.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2015-07-06 23:22:40,2016-07-16T00:00:00,ATAPL-67627-00004,"['16-50119']",44.515225,-125.38982,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00004__20150419.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00004__20150419.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2016-07-17 02:10:00,2017-07-29T04:00:00,ATAPL-67627-00002,"['16P71179-7234']",44.515266,-125.389817,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00002__20160227.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00002__20160227.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2017-07-29 19:00:00,2018-06-26T10:00:00,ATAPL-67627-00004,"['16-50119']",44.515232,-125.389826,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00004__20170210.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00004__20170210.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2018-06-26 10:00:00,2019-06-18T05:02:00,ATAPL-67627-00002,"['16P71179-7234']",44.515225,-125.389813,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00002__20170830.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00002__20170830.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2019-06-19 23:42:00,2020-08-03T04:08:00,ATAPL-67627-00005,"['16-50128']",44.515281,-125.389893,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00005__20180811.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00005__20180811.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2020-08-04 16:00:00,2021-08-04T20:20:00,ATAPL-67627-00002,"['16P71179-7234']",44.515179,-125.390001,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00002__20190911.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00002__20190911.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2021-08-24 22:56:07,2022-08-08T17:19:00,ATAPL-67627-00004,"['16-50119']",44.515182,-125.389997,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00004__20201006.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00004__20201006.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2022-08-09 17:37:00,2023-08-17T02:02:00,ATAPL-67627-00002,"['16P71179-7234']",44.515229,-125.389891,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00002__20211028.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00002__20211028.xmlcon
CTDPFB,RS01SLBS-LJ01A-12-CTDPFB101,2023-08-18 14:33:00,nan,ATAPL-67627-00004,"['16-50119']",44.515229,-125.389891,https://github.com/oceanobservatories/asset-management/tree/master/calibration/CTDPFB/ATAPL-67627-00004__20221013.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/CTDPFB/ATAPL-67627-00004__20221013.xmlcon
