sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-58694-00004,"['43-2853']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00004__20140208.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00004__20140208.cal
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2015-08-03 02:21:00,2016-07-18T00:00:00,ATOSU-58694-00007,"['43-3136']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00007__20150414.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00007__20150414.cal
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-58694-00004,"['43-2853']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00004__20160210.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00004__20160210.xml
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-58694-00007,"['43-3136']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00007__20170117.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00007__20170117.xml
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-58694-00004,"['43-2853']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00004__20180314.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00004__20180314.cal
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-58694-00007,"['43-3136']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00007__20190109.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00007__20190109.xml
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2020-08-02 19:43:56,2020-08-22T00:11:00,ATOSU-58694-00004,"['43-2853']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00004__20190904.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00004__20190904.cal
DOFSTA,CE04OSPS-SF01B-2A-DOFSTA107,2021-08-24 17:11:39,nan,ATOSU-58694-00007,"['43-3136']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATOSU-58694-00007__20200922.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATOSU-58694-00007__20200922.xml
DOFSTA,RS01SBPS-SF01A-2A-DOFSTA102,2014-09-29 04:43:00,2015-07-06T00:00:00,ATAPL-58694-00001,"['43-2463']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATAPL-58694-00001__20140528.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATAPL-58694-00001__20140528.xml
DOFSTA,RS01SBPS-SF01A-2A-DOFSTA102,2015-07-07 20:47:00,2016-07-17T00:00:00,ATAPL-58694-00005,"['43-3163']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOFSTA/ATAPL-58694-00005__20150425.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/DOFSTA/ATAPL-58694-00005__20150425.cal
