sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-58320-00020,"['216']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00020__20130629.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2015-08-02 05:30:00,2016-07-21T00:00:00,ATOSU-58320-00019,"['311']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00019__20150519.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-58320-00020,"['216']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00020__20160302.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-58320-00019,"['311']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00019__20161123.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2018-06-30 02:30:00,2019-06-19T23:31:00,ATOSU-58320-00020,"['216']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00020__20171023.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-58320-00019,"['311']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00019__20181111.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-58320-00020,"['216']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00020__20191009.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-58320-00019,"['311']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00019__20201120.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE02SHBP-LJ01D-06-DOSTAD106,2022-08-19 05:55:00,nan,ATOSU-58320-00020,"['216']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00020__20211026.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
DOSTAD,CE04OSBP-LJ01C-06-DOSTAD108,2014-08-15 00:12:00,2015-08-02T00:00:00,ATOSU-58320-00021,"['133']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/DOSTAD/ATOSU-58320-00021__20130117.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
