sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2014-08-16 23:30:00,2015-07-23T00:00:00,ATAPL-71444-00004,"['4']",44.368305,-124.952756,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2015-07-24 19:50:00,2016-08-07T00:00:00,ATAPL-71444-00006,"['6']",44.368527,-124.952667,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2016-08-07 03:50:00,2017-08-06T00:56:48,ATAPL-71444-00004,"['4']",44.368433,-124.953043,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2017-08-06 00:56:48,2017-08-24T10:10:31,ATAPL-71444-00007,"['7']",44.368262,-124.952751,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2017-08-25 23:26:21,2018-07-23T00:00:00,ATAPL-71444-00006,"['6']",44.368262,-124.952751,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2018-07-23 00:00:00,2019-07-01T23:48:00,ATAPL-71444-00004,"['4']",44.368193,-124.952819,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2019-07-02 01:00:00,2019-07-09T02:45:02,ATAPL-71444-00003,"['3']",44.368188,-124.952813,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2019-07-09 02:02:06,2019-09-25T16:10:00,ATAPL-71444-00005,"['5']",44.368188,-124.952813,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2020-08-12 03:00:00,2021-08-04T20:20:00,ATAPL-71444-00007,"['7']",44.368193,-124.952819,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2021-08-23 19:35:00,2022-08-26T10:18:09,ATAPL-71444-00005,"['5']",44.368228,-124.952795,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2022-08-26 16:00:00,2023-09-08T12:00:00,ATAPL-71444-00004,"['4']",44.368196,-124.952808,none,none
DPVEHICLE,CE04OSPD-DP01B-00-ENG000000,2023-09-08 12:00:00,nan,ATAPL-71444-00005,"['5']",44.368196,-124.952808,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2014-08-23 05:55:00,2014-09-22T00:00:00,ATAPL-71444-00002,"['2']",44.527467,-125.380673,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2015-07-22 22:17:00,2016-08-09T00:00:00,ATAPL-71444-00002,"['2']",44.527636,-125.380868,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2016-08-09 03:16:00,2018-07-25T00:00:00,ATAPL-71444-00003,"['3']",44.527496,-125.380629,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2018-07-25 00:00:00,2019-07-02T07:46:00,ATAPL-71444-00007,"['7']",44.527458,-125.380328,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2019-07-02 20:30:00,2020-03-31T00:00:00,ATAPL-71444-00006,"['6']",44.527458,-125.380328,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2020-08-12 18:00:00,2021-08-04T20:20:00,ATAPL-71444-00003,"['3']",44.527458,-125.380328,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2021-08-23 22:54:08,2022-08-27T00:49:45,ATAPL-71444-00002,"['2']",44.527512,-125.380619,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2022-08-29 00:00:00,2023-09-12T00:00:00,ATAPL-71444-00003,"['3']",44.527052,-125.3802,none,none
DPVEHICLE,RS01SBPD-DP01A-00-ENG000000,2023-09-12 00:00:00,nan,ATAPL-71444-00006,"['6']",44.527052,-125.3802,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2014-08-09 21:00:00,2015-07-26T14:11:08,ATAPL-71444-00003,"['3']",45.829731,-129.759059,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2015-07-28 18:37:16,2015-08-05T00:42:27,ATAPL-71444-00005,"['5']",45.829681,-129.759008,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2017-08-23 09:30:00,2018-07-26T00:00:00,ATAPL-71444-00002,"['2']",45.829631,-129.759328,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2018-07-26 00:00:00,2019-07-03T06:37:00,ATAPL-71444-00005,"['5']",45.829631,-129.759328,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2019-07-03 20:30:00,2020-01-17T20:05:00,ATAPL-71444-00002,"['2']",45.829631,-129.759328,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2020-08-19 12:00:00,2021-08-27T05:00:00,ATAPL-71444-00004,"['4']",45.829631,-129.759328,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2021-08-27 06:00:00,2022-08-28T11:11:38,ATAPL-71444-00006,"['6']",45.829653,-129.759309,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2022-08-29 00:00:00,2023-09-13T00:00:00,ATAPL-71444-00007,"['7']",45.829651,-129.759299,none,none
DPVEHICLE,RS03AXPD-DP03A-00-ENG000000,2023-09-13 00:00:00,nan,ATAPL-71444-00002,"['2']",45.829651,-129.759299,none,none
