sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2014-08-16 23:30:00,2015-07-23T00:00:00,ATOSU-70111-00007,"['3400']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00007__20131204.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2015-07-24 19:50:00,2016-08-07T00:00:00,ATOSU-70111-00006,"['3717']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00006__20141021.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2016-08-07 03:50:00,2017-08-06T00:56:48,ATOSU-70111-00007,"['3400']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00007__20151223.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2017-08-06 00:56:48,2017-08-24T10:10:31,ATAPL-70111-00004,"['3715']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATAPL-70111-00004__20170131.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2017-08-25 23:26:21,2018-07-23T00:00:00,ATOSU-70111-00006,"['3717']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00006__20170202.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2018-07-23 00:00:00,2019-07-01T23:48:00,ATOSU-70111-00007,"['3400']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00007__20171101.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2019-07-02 01:00:00,2019-07-09T02:45:02,ATOSU-70111-00006,"['3717']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00006__20180913.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2019-07-09 02:02:06,2019-09-25T16:10:00,ATAPL-70111-00004,"['3715']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATAPL-70111-00004__20171101.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2020-08-12 03:00:00,2021-08-04T20:20:00,ATOSU-70111-00007,"['3400']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATOSU-70111-00007__20190924.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
FLCDRA,CE04OSPD-DP01B-03-FLCDRA103,2021-08-23 19:35:00,2022-08-26T10:18:09,ATAPL-70111-00005,"['3716']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/FLCDRA/ATAPL-70111-00005__20201109.csv,https://github.com/oceanobservatories/asset-management/tree/master/calibration/ZPLSCB/ATOSU-63259-00003__20150802.csv
