sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2013-07-17 18:27:00,2014-09-02T16:00:00,ATAPL-58334-00001,"['1']",44.569965,-125.146643,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2014-09-08 12:00:00,2015-07-14T18:50:06,ATAPL-58334-00002,"['2']",44.569947,-125.14679,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2015-07-14 18:50:06,2016-07-22T00:00:00,ATAPL-58334-00004,"['4']",44.569998,-125.146806,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2016-07-23 00:00:00,2017-08-12T10:02:00,ATAPL-58334-00001,"['1']",44.56997,-125.146785,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2017-08-12 09:57:00,2018-06-27T21:10:00,ATAPL-58334-00002,"['2']",44.569986,-125.146781,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2018-06-27 21:08:00,2019-06-25T05:26:00,ATAPL-58334-00004,"['4']",44.569915,-125.146741,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2019-06-25 05:11:00,2020-08-19T15:23:28,ATAPL-58334-00001,"['1']",44.569947,-125.146801,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2020-08-19 16:39:08,2021-08-15T11:16:00,ATAPL-58334-00004,"['4']",44.569926,-125.146794,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2021-08-15 10:35:00,2022-08-20T13:52:39,ATAPL-58334-00001,"['1']",44.569929,-125.146747,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2022-08-20 12:15:59,2023-08-27T04:30:00,ATAPL-58334-00004,"['4']",44.569838,-125.146653,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2023-08-27 04:23:00,2024-08-21T10:19:54,ATAPL-58334-00001,"['1']",44.569979,-125.14668,none,none
FLOBNCAT,RS01SUM2-MJ01B-00-FLOBNC101,2024-08-21 15:06:11,nan,ATAPL-58334-00002,"['2']",44.570267,-125.146892,none,none
