sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2013-07-17 19:00:00,2014-09-02T15:34:00,ATAPL-70113-00001,"['1']",44.56992,-125.14664,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2014-09-02 14:02:00,2015-07-14T19:43:27,ATAPL-70113-00002,"['2']",44.569941,-125.146788,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2015-07-14 19:43:27,2016-07-22T00:00:00,ATAPL-70113-00004,"['4']",44.570003,-125.146805,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2016-07-23 00:00:00,2017-08-12T11:26:00,ATAPL-70113-00002,"['2']",44.56994,-125.146765,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2017-08-12 10:30:00,2018-06-27T20:08:00,ATAPL-70113-00004,"['4']",44.569985,-125.14677,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2018-06-27 20:46:00,2019-06-25T04:18:00,ATAPL-70113-00003,"['3']",44.569985,-125.14677,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2019-06-25 04:14:00,2020-08-22T22:40:29,ATAPL-70113-00004,"['4']",44.56994,-125.146794,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2020-08-22 22:34:21,2021-08-15T11:24:00,ATAPL-70113-00003,"['3']",44.569935,-125.14675,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2021-08-15 10:59:00,2022-08-20T22:24:33,ATAPL-70113-00002,"['2']",44.569941,-125.146718,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2022-08-22 19:15:20,2023-08-28T04:30:00,ATAPL-70113-00003,"['3']",44.569847,-125.146626,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2023-08-28 03:12:00,2024-08-21T10:19:54,ATAPL-70113-00002,"['2']",44.570022,-125.146728,none,none
FLOBNMOS,RS01SUM2-MJ01B-00-FLOBNM101,2024-08-21 15:40:22,nan,ATAPL-70113-00003,"['3']",44.570259,-125.146897,none,none
