sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2014-08-27 16:37:58,2015-07-22T00:00:00,ATAPL-58323-00002,"['2', '007', '308', '32', '33']",44.522289,-125.380506,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2015-07-22 06:55:49,2016-08-08T00:00:00,ATAPL-58323-00003,"['3', '008', '177']",44.522305,-125.380407,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2016-08-08 20:21:00,2017-08-11T23:00:00,ATAPL-58323-00002,"['2', '007', '308', '32', '33']",44.522315,-125.380309,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2017-08-12 23:00:00,2019-06-18T05:02:00,ATAPL-58323-00003,"['3', '008', '177']",44.522179,-125.38029,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2019-06-19 23:42:00,2021-08-04T20:20:00,ATAPL-58323-00002,"['2', '007', '308', '32', '33']",44.522262,-125.380412,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2021-08-24 22:56:07,2024-08-14T20:53:00,ATAPL-58323-00003,"['3', '008', '177']",44.522193,-125.380139,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2024-08-15 13:48:00,2025-08-05T20:55:00,ATAPL-58323-00002,"['2', '007', '308', '32', '33']",44.522411,-125.380153,none,none
HPIESA,RS01SLBS-LJ01A-05-HPIESA101,2025-08-06 17:15:00,nan,ATAPL-58323-00003,"['3', '008', '177']",44.522193,-125.380139,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2014-08-07 19:59:00,2015-06-13T00:00:00,ATAPL-58323-00001,"['1', '006', '307', '30', '31']",45.823954,-129.759796,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2015-07-26 02:36:00,2016-07-11T00:00:00,ATAPL-58323-00004,"['4', '002', '179']",45.824047,-129.759953,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2016-07-28 00:00:00,2018-07-09T00:00:00,ATAPL-58323-00001,"['1', '006', '307', '30', '31']",45.824215,-129.759948,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2018-07-09 00:00:00,2019-06-17T03:33:00,ATAPL-58323-00001,"['1', '006', '307', '30', '31']",45.824102,-129.759786,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2019-06-17 19:48:00,2020-08-04T23:20:00,ATAPL-58323-00001,"['1', '006', '307', '30', '31']",45.823946,-129.759633,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2020-08-05 19:20:00,2022-08-27T23:46:00,ATAPL-58323-00004,"['4', '002', '179']",45.824148,-129.759617,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2022-08-29 22:40:00,2023-09-02T21:04:00,ATAPL-58323-00002,"['2', '007', '308', '32', '33']",45.824158,-129.759554,none,none
HPIESA,RS03AXBS-LJ03A-05-HPIESA301,2023-09-05 18:57:00,nan,ATAPL-58323-00001,"['1', '006', '307', '30', '31']",45.8241,-129.759588,none,none
