sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-58324-00014,"['1248']",44.636971,-124.305776,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00014__20140910.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00014__20130802.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2015-08-02 05:47:00,2016-07-21T00:00:00,ATOSU-58324-00012,"['1411']",44.637038,-124.305858,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00012__20150802.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00012__20150525.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-58324-00014,"['1248']",44.637138,-124.305978,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00014__20160722.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00014__20130802.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-58324-00012,"['1411']",44.637151,-124.305963,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00012__20150802.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00012__20150525.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2018-06-30 02:30:00,2019-06-19T23:31:00,ATOSU-58324-00015,"['1249']",44.637073,-124.305888,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00015__20160722.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00015__20171030.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-58324-00012,"['1411']",44.636988,-124.3057,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00012__20150802.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00012__20180927.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-58324-00014,"['1248']",44.637092,-124.305857,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00014__20160722.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00014__20171030.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-58324-00012,"['1411']",44.637138,-124.305872,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00012__20150802.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00012__20180927.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2022-08-19 05:55:00,2023-08-14T19:20:00,ATOSU-58324-00014,"['1248']",44.637212,-124.305644,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00014__20160722.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00014__20211118.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2023-08-22 14:50:00,2024-08-15T20:13:00,ATOSU-58324-00012,"['1411']",44.637202,-124.305652,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00012__20150802.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00012__20230301.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2024-08-19 14:55:00,2025-08-15T00:20:00,ATOSU-58324-00014,"['1248']",44.637205,-124.305686,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00014__20160722.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00014__20211118.pdf
HYDBBA,CE02SHBP-LJ01D-11-HYDBBA106,2025-08-28 15:17:00,nan,ATOSU-58324-00012,"['1411']",44.637212,-124.305644,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00012__20150802.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00012__20230301.pdf
HYDBBA,CE04OSBP-LJ01C-11-HYDBBA105,2014-08-15 00:12:00,2015-08-02T00:00:00,ATOSU-58324-00015,"['1249']",44.369628,-124.953816,https://github.com/oceanobservatories/asset-management/tree/master/calibration/HYDBBA/ATOSU-58324-00015__20140815.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/HYDBBA/ATOSU-58324-00015__20130805.pdf
