referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE02SHBP-LJ01D-05-ADCPTB104,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-05-ADCPTB104,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-05-ADCPTB104,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-05-ADCPTB104,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-05-ADCPTB104,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-06-CTDBPN106,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-06-CTDBPN106,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-06-CTDBPN106,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-06-CTDBPN106,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-06-DOSTAD106,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-06-DOSTAD106,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-06-DOSTAD106,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-06-DOSTAD106,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-07-VEL3DC108,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-07-VEL3DC108,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-07-VEL3DC108,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-07-VEL3DC108,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-08-OPTAAD106,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-08-OPTAAD106,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-08-OPTAAD106,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-08-OPTAAD106,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-09-PCO2WB103,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-09-PCO2WB103,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-09-PCO2WB103,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-09-PCO2WB103,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-10-PHSEND103,2014,1,44.63698,-124.30587,80,80
CE02SHBP-LJ01D-10-PHSEND103,2015,2,44.63718,-124.30590,81,81
CE02SHBP-LJ01D-10-PHSEND103,2016,3,44.63714,-124.30586,80,80
CE02SHBP-LJ01D-10-PHSEND103,2017,4,44.63718,-124.30595,78,78
CE02SHBP-LJ01D-10-PHSEND103,2018,5,44.63713,-124.30592,82,82
CE02SHBP-LJ01D-10-PHSEND103,2019,6,44.63716,-124.30586,81,81
CE02SHBP-LJ01D-10-PHSEND103,2020,7,44.63716,-124.30587,81,81
CE02SHBP-LJ01D-11-HYDBBA106,2014,1,44.63697,-124.30578,80,80
CE02SHBP-LJ01D-11-HYDBBA106,2015,2,44.63704,-124.30586,81,81
CE02SHBP-LJ01D-11-HYDBBA106,2016,3,44.63714,-124.30598,81,81
CE02SHBP-LJ01D-11-HYDBBA106,2017,4,44.63715,-124.30596,77,77
CE02SHBP-LJ01D-11-HYDBBA106,2018,5,44.63707,-124.30589,82,82
CE02SHBP-LJ01D-11-HYDBBA106,2019,6,44.63699,-124.30570,81,81
CE02SHBP-LJ01D-11-HYDBBA106,2020,7,44.63709,-124.30586,81,81
CE02SHBP-MJ01C-07-ZPLSCB101,2014,1,44.63738,-124.30553,80,80
CE02SHBP-MJ01C-07-ZPLSCB101,2015,2,44.63747,-124.30543,83,83
CE02SHBP-MJ01C-07-ZPLSCB101,2016,3,44.63742,-124.30554,82,82
CE02SHBP-MJ01C-07-ZPLSCB101,2017,4,44.63735,-124.30547,79,79
CE02SHBP-MJ01C-07-ZPLSCB101,2019,5,44.63733,-124.30549,81,81
CE02SHBP-MJ01C-07-ZPLSCB101,2020,6,44.63738,-124.30556,82,82
CE02SHBP-MJ01C-08-CAMDSB107,2014,1,44.63723,-124.30551,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2015,2,44.63730,-124.30549,80,80
CE02SHBP-MJ01C-08-CAMDSB107,2016,3,44.63726,-124.30550,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2017,4,44.63726,-124.30550,81,81
CE02SHBP-MJ01C-08-CAMDSB107,2018,5,44.63720,-124.30547,83,83
CE02SHBP-MJ01C-08-CAMDSB107,2019,6,44.63724,-124.30547,82,82
CE02SHBP-MJ01C-08-CAMDSB107,2020,7,44.63721,-124.30546,81,81
CE04OSBP-LJ01C-05-ADCPSI103,2014,1,44.36956,-124.95375,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2015,2,44.36958,-124.95371,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2016,3,44.36941,-124.95364,581,581
CE04OSBP-LJ01C-05-ADCPSI103,2017,4,44.36942,-124.95358,579,579
CE04OSBP-LJ01C-05-ADCPSI103,2018,5,44.36948,-124.95371,582,582
CE04OSBP-LJ01C-05-ADCPSI103,2019,6,44.36946,-124.95364,580,580
CE04OSBP-LJ01C-05-ADCPSI103,2020,7,44.36940,-124.95362,582,582
CE04OSBP-LJ01C-06-CTDBPO108,2014,1,44.36956,-124.95375,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2015,2,44.36958,-124.95371,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2016,3,44.36941,-124.95364,581,581
CE04OSBP-LJ01C-06-CTDBPO108,2017,4,44.36942,-124.95358,579,579
CE04OSBP-LJ01C-06-CTDBPO108,2018,5,44.36948,-124.95371,582,582
CE04OSBP-LJ01C-06-CTDBPO108,2019,6,44.36946,-124.95364,580,580
CE04OSBP-LJ01C-06-CTDBPO108,2020,7,44.36940,-124.95362,582,582
CE04OSBP-LJ01C-06-DOSTAD108,2014,1,44.36956,-124.95375,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2015,2,44.36958,-124.95371,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2016,3,44.36941,-124.95364,581,581
CE04OSBP-LJ01C-06-DOSTAD108,2017,4,44.36942,-124.95358,579,579
CE04OSBP-LJ01C-06-DOSTAD108,2018,5,44.36948,-124.95371,582,582
CE04OSBP-LJ01C-06-DOSTAD108,2019,6,44.36946,-124.95364,580,580
CE04OSBP-LJ01C-06-DOSTAD108,2020,7,44.36940,-124.95362,582,582
CE04OSBP-LJ01C-07-VEL3DC107,2014,1,44.36956,-124.95375,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2015,2,44.36958,-124.95371,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2016,3,44.36941,-124.95364,581,581
CE04OSBP-LJ01C-07-VEL3DC107,2017,4,44.36942,-124.95358,579,579
CE04OSBP-LJ01C-07-VEL3DC107,2018,5,44.36948,-124.95371,582,582
CE04OSBP-LJ01C-07-VEL3DC107,2019,6,44.36946,-124.95364,580,580
CE04OSBP-LJ01C-07-VEL3DC107,2020,7,44.36940,-124.95362,582,582
CE04OSBP-LJ01C-08-OPTAAC104,2014,1,44.36956,-124.95375,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2015,2,44.36958,-124.95371,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2016,3,44.36941,-124.95364,581,581
CE04OSBP-LJ01C-08-OPTAAC104,2017,4,44.36942,-124.95358,579,579
CE04OSBP-LJ01C-08-OPTAAC104,2018,5,44.36948,-124.95371,582,582
CE04OSBP-LJ01C-08-OPTAAC104,2019,6,44.36946,-124.95364,580,580
CE04OSBP-LJ01C-08-OPTAAC104,2020,7,44.36940,-124.95362,582,582
CE04OSBP-LJ01C-09-PCO2WB104,2014,1,44.36956,-124.95375,581,581
CE04OSBP-LJ01C-09-PCO2WB104,2015,2,44.36958,-124.95371,581,581
