sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
MARUM,RS01SUM2-MJ01B-08-OVRSRA101,2018-06-28 19:30:00,2019-06-24T21:51:00,PIRSN-OVRSRA-00001,"['1']",44.570004,-125.14728,none,none
MARUM,RS01SUM2-MJ01B-08-OVRSRA101,2019-06-26 03:29:00,2020-08-20T01:30:00,PIRSN-OVRSRA-00001,"['1']",44.570004,-125.14728,none,none
MARUM,RS01SUM2-MJ01B-08-OVRSRA101,2021-08-12 23:23:00,2022-09-15T21:06:00,PIRSN-OVRSRA-00001,"['1']",44.569987,-125.147269,none,none
MARUM,RS01SUM2-MJ01B-09-CAMPIA101,2019-06-26 23:12:00,2020-08-20T01:30:00,PIRSN-CAMPIA-00001,"['SUBC17758,SUBC18936']",44.569912,-125.147096,none,none
MARUM,RS01SUM2-MJ01B-09-CAMPIA101,2021-08-15 07:25:29,2023-08-24T00:00:00,PIRSN-CAMPIA-00001,"['SUBC17758,SUBC18936']",44.569828,-125.147016,none,none
MARUM,RS01SUM2-MJ01B-10-QNTSRA101,2018-06-29 00:00:00,2020-08-20T01:30:00,PIRSN-QNTSRA-00001,"['1']",44.569964,-125.146782,none,none
MARUM,RS01SUM2-MJ01B-10-QNTSRA101,2020-08-23 23:15:09,2023-08-24T00:00:00,PIRSN-QNTSRA-00001,"['1']",44.570001,-125.14674,none,none
MARUM,RS01SUM2-MJ01B-11-CTDPFA110,2018-06-28 20:00:00,2020-08-20T13:59:00,PIRSN-CTDPFA-10001,"['16-50216,63-1609']",44.569816,-125.146707,none,none
MARUM,RS01SUM2-MJ01B-11-CTDPFA110,2020-08-20 13:59:00,2021-08-14T23:00:19,PIRSN-CTDPFA-10002,"['16-50347,63-2513']",44.569811,-125.146732,none,none
MARUM,RS01SUM2-MJ01B-11-CTDPFA110,2021-08-15 07:25:29,2022-08-20T02:40:00,PIRSN-CTDPFA-10001,"['16-50216,63-1609']",44.569793,-125.146707,none,none
MARUM,RS01SUM2-MJ01B-11-CTDPFA110,2022-08-21 03:29:00,2023-08-24T00:00:00,PIRSN-CTDPFA-10002,"['16-50347,63-2513']",44.569826,-125.14669,none,none
