CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,CE02SHBP-LJ01D,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00006,,44.636981,-124.305867,,80,80,,,
TN326,,,,CE02SHBP-LJ01D,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00009,,44.637185,-124.305903,,81,81,,,
SKQ201610S,,,,CE02SHBP-LJ01D,3,1,2016-07-22T22:50:00,2017-09-09T03:30:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00006,,44.637145,-124.305863,,80,80,,,
RR1717,,,,CE02SHBP-LJ01D,4,1,2017-09-10T14:30:00,2018-06-29T02:30:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00009,,44.637179,-124.305949,,78,78,,,
RR1810,,,,CE02SHBP-LJ01D,5,1,2018-06-30T02:30:00,2019-06-19T23:31:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00006,,44.637131,-124.305920,,82,82,,,
AT42-12,,,,CE02SHBP-LJ01D,6,1,2019-06-23T03:36:00,2020-08-12T21:24:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00009,,44.637156,-124.305859,,81,81,,,
TN382,,,,CE02SHBP-LJ01D,7,1,2020-08-25T17:34:05,2021-08-04T20:20:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00006,,44.637163,-124.305867,,81,81,,,
TN393,,,,CE02SHBP-LJ01D,8,1,2021-08-23T19:27:00,2022-08-18T23:51:00,CE02SHBP-LJ01D-0000,ATAPL-65310-00009,,44.637194,-124.305837,,81,81,,,
TN407,,,,CE02SHBP-LJ01D,9,1,2022-08-19T05:55:00,,CE02SHBP-LJ01D-0000,ATAPL-65310-00006,,44.637213,-124.305724,,81,81,,,
TN313,,,,CE02SHBP-MJ01C,1,1,2014-09-22T09:52:00,2021-08-13T22:11:02,CE02SHBP-MJ01C-0000,ATAPL-65244-00025,,44.637290,-124.305619,,81,81,,,
TN393,,,,CE02SHBP-MJ01C,2,1,2021-08-13T22:29:29,,CE02SHBP-MJ01C-0000,ATAPL-65244-00036,,44.637304,-124.305619,,82,82,,,
TN268,,,,CE02SHBP-PN01D,1,,2012-07-01T00:00:00,,CE02SHBP-PN01D-0000,ATSOO-70232-PN01D,,44.691385,-124.457012,,113,113,,,
TN313,,,,CE04OSBP-LJ01C,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,,44.369556,-124.953745,,581,581,,,
TN326,,,,CE04OSBP-LJ01C,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00008,,44.369584,-124.953712,,581,581,,,
SKQ201610S,,,,CE04OSBP-LJ01C,3,1,2016-07-22T22:50:00,2017-08-10T04:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00005,,44.369406,-124.953640,,581,581,,,
RR1714,,,,CE04OSBP-LJ01C,4,1,2017-08-10T16:00:00,2018-06-25T00:00:00,CE04OSBP-LJ01C-0000,ATAPL-65310-00008,,44.369419,-124.953576,,579,579,,,
