referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE02SHBP-LJ01D,1,2014,44.63698,-124.30587,80,80
CE02SHBP-LJ01D,2,2015,44.63718,-124.30590,81,81
CE02SHBP-LJ01D,3,2016,44.63714,-124.30586,80,80
CE02SHBP-LJ01D,4,2017,44.63718,-124.30595,78,78
CE02SHBP-LJ01D,5,2018,44.63713,-124.30592,82,82
CE02SHBP-LJ01D,6,2019,44.63716,-124.30586,81,81
CE02SHBP-LJ01D,7,2020,44.63716,-124.30587,81,81
CE02SHBP-MJ01C,1,2014,44.63729,-124.30562,81,81
CE02SHBP-PN01D,1,2012,44.69139,-124.45701,113,113
CE04OSBP-LJ01C,1,2014,44.36956,-124.95375,581,581
CE04OSBP-LJ01C,2,2015,44.36958,-124.95371,581,581
CE04OSBP-LJ01C,3,2016,44.36941,-124.95364,581,581
CE04OSBP-LJ01C,4,2017,44.36942,-124.95358,579,579
CE04OSBP-LJ01C,5,2018,44.36948,-124.95371,582,582
CE04OSBP-LJ01C,6,2019,44.36946,-124.95364,580,580
CE04OSBP-LJ01C,7,2020,44.36940,-124.95362,582,582
CE04OSBP-LV01C,1,2014,44.36934,-124.95400,582,582
CE04OSBP-LV01C,2,2017,44.36933,-124.95409,579,579
CE04OSBP-LV01C,3,2018,44.36930,-124.95414,582,582
CE04OSBP-LV01C,4,2020,44.36934,-124.95412,584,584
CE04OSBP-PN01C,1,2012,44.36324,-124.96207,615,615
CE04OSBP-PN01C,2,2013,44.36365,-124.96198,615,615
CE04OSPD-DP01B,1,2014,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B,2,2015,44.36853,-124.95267,N/A,582
CE04OSPD-DP01B,3,2016,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B,4,2017,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B,5,2017,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B,6,2018,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B,7,2019,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B,8,2019,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B,9,2020,44.36819,-124.95282,N/A,583
CE04OSPD-PD01B,1,2014,44.36831,-124.95276,575,582
CE04OSPD-PD01B,2,2015,44.36853,-124.95267,575,582
CE04OSPD-PD01B,3,2016,44.36843,-124.95304,577,584
CE04OSPD-PD01B,4,2017,44.36826,-124.95275,568,575
CE04OSPD-PD01B,5,2017,44.36826,-124.95275,568,575
CE04OSPD-PD01B,6,2018,44.36819,-124.95282,569,576
CE04OSPS-PC01B,1,2014,44.37416,-124.95648,190,580
CE04OSPS-PC01B,2,2015,44.37416,-124.95648,190,580
CE04OSPS-PC01B,3,2016,44.37416,-124.95648,190,580
CE04OSPS-PC01B,4,2017,44.37416,-124.95648,190,580
CE04OSPS-PC01B,5,2018,44.37421,-124.95648,197,580
CE04OSPS-PC01B,6,2019,44.37421,-124.95648,197,580
CE04OSPS-PC01B,7,2020,44.37421,-124.95648,197,580
CE04OSPS-SC01B,1,2014,44.37416,-124.95648,190,580
CE04OSPS-SC01B,2,2015,44.37416,-124.95648,190,580
CE04OSPS-SC01B,3,2016,44.37416,-124.95648,190,580
CE04OSPS-SC01B,4,2017,44.37416,-124.95648,190,580
CE04OSPS-SC01B,5,2018,44.37421,-124.95648,197,580
CE04OSPS-SC01B,6,2019,44.37421,-124.95648,197,580
CE04OSPS-SC01B,7,2020,44.37421,-124.95648,197,580
CE04OSPS-SF01B,1,2014,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B,2,2015,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B,3,2016,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B,4,2017,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B,5,2018,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B,6,2019,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B,7,2020,44.37421,-124.95648,N/A,580
RS01SBPD-DP01A,1,2014,44.52747,-125.38067,N/A,2901
RS01SBPD-DP01A,2,2015,44.52764,-125.38087,N/A,2898
RS01SBPD-DP01A,3,2016,44.52750,-125.38063,N/A,2898
RS01SBPD-DP01A,4,2018,44.52746,-125.38033,N/A,2899
RS01SBPD-DP01A,5,2019,44.52746,-125.38033,N/A,2899
RS01SBPD-DP01A,6,2020,44.52746,-125.38033,N/A,2899
RS01SBPD-PD01A,1,2014,44.52747,-125.38067,2894,2901
RS01SBPD-PD01A,2,2015,44.52764,-125.38087,2891,2898
RS01SBPD-PD01A,3,2016,44.52750,-125.38063,2891,2898
RS01SBPD-PD01A,4,2018,44.52746,-125.38033,2892,2899
RS01SBPS-LV01A,1,2014,44.51518,-125.38993,2899,2899
RS01SBPS-PC01A,1,2014,44.52895,-125.38966,196,2906
RS01SBPS-PC01A,2,2015,44.52895,-125.38966,196,2906
RS01SBPS-PC01A,3,2016,44.52895,-125.38966,196,2906
RS01SBPS-PC01A,4,2017,44.52895,-125.38966,196,2906
RS01SBPS-PC01A,5,2018,44.52895,-125.38966,196,2906
RS01SBPS-PC01A,6,2019,44.52895,-125.38966,196,2906
RS01SBPS-PC01A,7,2020,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,1,2014,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,2,2015,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,3,2016,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,4,2017,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,5,2018,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,6,2019,44.52895,-125.38966,196,2906
RS01SBPS-SC01A,7,2020,44.52895,-125.38966,196,2906
RS01SBPS-SF01A,1,2014,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,2,2015,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,3,2016,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,4,2017,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,5,2018,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,6,2018,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,7,2019,44.52895,-125.38966,N/A,2906
RS01SBPS-SF01A,8,2020,44.52895,-125.38966,N/A,2906
RS01SLBS-LJ01A,1,2014,44.51521,-125.38984,2903,2903
RS01SLBS-LJ01A,2,2015,44.51518,-125.38988,2902,2902
RS01SLBS-LJ01A,3,2016,44.51520,-125.38985,2906,2906
RS01SLBS-LJ01A,4,2017,44.51524,-125.38996,2892,2892
RS01SLBS-LJ01A,5,2020,44.51524,-125.38996,2907,2907
RS01SLBS-MJ01A,1,2013,44.50983,-125.40520,2909,2909
RS01SLBS-MJ01A,2,2016,44.50970,-125.40518,2909,2909
RS01SLBS-PN01A,1,2012,44.50957,-125.39824,2900,2900
RS01SUM1-LJ01B,1,2014,44.56918,-125.14805,776,776
RS01SUM1-LJ01B,2,2016,44.56918,-125.14809,777,777
RS01SUM1-LJ01B,3,2019,44.56919,-125.14802,778,778
RS01SUM1-LV01B,1,2014,44.56918,-125.14807,776,776
RS01SUM1-PN01B,1,2014,44.48144,-125.14833,1242,1242
RS01SUM2-MJ01B,1,2014,44.56983,-125.14682,772,772
RS01SUM2-MJ01B,2,2018,44.56985,-125.14678,775,775
RS03ASHS-MJ03B,1,2013,45.93371,-130.01385,1540,1540
RS03ASHS-MJ03B,2,2014,45.93373,-130.01391,1541,1541
RS03ASHS-MJ03B,3,2017,45.93372,-130.01391,1540,1540
RS03ASHS-MJ03B,4,2018,45.93374,-130.01390,1544,1544
RS03AXBS-LJ03A,1,2014,45.81680,-129.75416,2609,2609
RS03AXBS-LJ03A,2,2015,45.81687,-129.75436,2610,2610
RS03AXBS-LJ03A,3,2016,45.81678,-129.75418,2610,2610
RS03AXBS-LJ03A,4,2017,45.81679,-129.75413,2599,2599
RS03AXBS-MJ03A,1,2014,45.82022,-129.73659,2612,2612
RS03AXBS-MJ03A,2,2016,45.82017,-129.73650,2611,2611
RS03AXBS-MJ03A,3,2019,45.82019,-129.73641,2615,2615
RS03AXBS-PN03A,1,2012,45.82058,-129.74355,2600,2600
RS03AXBS-PN03A,2,2014,45.82046,-129.74316,2611,2611
RS03AXPD-DP03A,1,2014,45.82973,-129.75906,N/A,2901
RS03AXPD-DP03A,2,2015,45.82968,-129.75906,N/A,2901
RS03AXPD-DP03A,3,2017,45.82963,-129.75933,N/A,2901
RS03AXPD-DP03A,4,2018,45.82963,-129.75933,N/A,2901
RS03AXPD-DP03A,5,2019,45.82963,-129.75933,N/A,2901
RS03AXPD-DP03A,6,2020,45.82963,-129.75933,N/A,2901
RS03AXPD-PD03A,1,2014,45.82973,-129.75906,2894,2901
RS03AXPD-PD03A,2,2015,45.82968,-129.75906,2894,2901
RS03AXPD-PD03A,3,2017,45.82963,-129.75933,2894,2901
RS03AXPS-LV03A,1,2014,45.81677,-129.75407,2604,2604
RS03AXPS-PC03A,1,2014,45.83048,-129.75328,187,2609
RS03AXPS-PC03A,2,2015,45.83048,-129.75328,187,2609
RS03AXPS-PC03A,3,2016,45.83048,-129.75328,187,2609
RS03AXPS-PC03A,4,2017,45.83048,-129.75328,187,2609
RS03AXPS-PC03A,5,2019,45.83045,-129.75325,191,2609
RS03AXPS-PC03A,6,2020,45.83045,-129.75325,191,2609
RS03AXPS-SC03A,1,2014,45.83048,-129.75328,187,2609
RS03AXPS-SC03A,2,2015,45.83048,-129.75328,187,2609
RS03AXPS-SC03A,3,2016,45.83048,-129.75328,187,2609
RS03AXPS-SC03A,4,2017,45.83048,-129.75328,187,2609
RS03AXPS-SC03A,5,2019,45.83045,-129.75325,191,2609
RS03AXPS-SC03A,6,2020,45.83045,-129.75325,191,2609
RS03AXPS-SF03A,1,2014,45.83048,-129.75328,N/A,2609
RS03AXPS-SF03A,2,2015,45.83048,-129.75328,N/A,2609
RS03AXPS-SF03A,3,2016,45.83048,-129.75328,N/A,2609
RS03AXPS-SF03A,4,2017,45.83048,-129.75328,N/A,2609
RS03AXPS-SF03A,5,2019,45.83045,-129.75325,N/A,2609
RS03AXPS-SF03A,6,2020,45.83045,-129.75325,N/A,2609
RS03AXSM-PN03B,1,2013,45.94127,-129.96974,1530,1530
