sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
OBSSPA,RS01SUM1-LJ01B-06-OBSSPA103,2014-09-01 19:33:00,2019-06-25T00:35:00,ATAPL-58331-00009,"['T6J75']",44.567395,-125.144178,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00009__20130313.pdf
OBSSPA,RS01SUM1-LJ01B-06-OBSSPA103,2019-06-25 22:14:00,2022-08-20T06:35:00,ATAPL-58331-00011,"['T6J77']",44.567403,-125.144202,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00011__20130318.pdf
OBSSPA,RS01SUM1-LJ01B-06-OBSSPA103,2022-08-21 14:09:00,nan,ATAPL-58331-00002,"['T6J68']",44.567411,-125.144196,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00002__20130313.pdf
OBSSPA,RS01SUM1-LJ01B-07-OBSSPA102,2014-09-01 15:17:00,nan,ATAPL-58331-00004,"['T6J70']",44.573195,-125.143917,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00004__20130314.pdf
OBSSPA,RS01SUM1-LJ01B-08-OBSSPA101,2014-09-01 12:03:00,nan,ATAPL-58331-00003,"['T6J69']",44.573029,-125.152499,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00003__20130312.pdf
OBSSPA,RS03ASHS-MJ03B-05-OBSSPA302,2013-08-11 13:52:00,nan,ATAPL-58331-00008,"['T6J74']",45.933782,-130.014094,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00008__20130311.pdf
OBSSPA,RS03ASHS-MJ03B-06-OBSSPA301,2013-08-15 15:38:00,nan,ATAPL-58331-00010,"['T6J76']",45.933555,-129.999235,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00010__20130307.pdf
OBSSPA,RS03ECAL-MJ03E-05-OBSSPA303,2013-07-27 04:37:19,nan,ATAPL-58331-00005,"['T6J71']",45.949577,-129.9797,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00005__20130314.pdf
OBSSPA,RS03ECAL-MJ03E-08-OBSSPA304,2013-07-26 23:57:57,nan,ATAPL-58331-00006,"['T6J72']",45.93607,-129.978545,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00006__20130315.pdf
OBSSPA,RS03INT2-MJ03D-05-OBSSPA305,2014-07-21 06:36:00,nan,ATAPL-58331-00001,"['T6J67']",45.92572,-129.978031,none,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/OBSSPA/ATAPL-58331-00001__20130430.pdf
