sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
OPTAAC,CE02SHBP-LJ01D-08-OPTAAD106,2016-07-22 22:50:00,2017-09-09T03:30:00,ATAPL-69943-00012,"['243']",44.637145,-124.305863,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00012__20160223.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00012__20160224.cal
OPTAAC,CE02SHBP-LJ01D-08-OPTAAD106,2025-08-28 15:17:00,nan,ATAPL-69943-00006,"['204']",44.637213,-124.305724,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00006__20250624.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00006__20250624.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2014-08-15 00:12:00,2015-08-02T00:00:00,ATOSU-69943-00011,"['140']",44.369556,-124.953745,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00011__20131105.csv,noValidCalFile
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2015-08-03 22:00:00,2016-07-21T00:00:00,ATOSU-69943-00010,"['191']",44.369584,-124.953712,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00010__20141031.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00010__20141031.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2016-07-22 22:50:00,2017-08-10T04:00:00,ATOSU-69943-00011,"['140']",44.369406,-124.95364,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00011__20160524.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00011__20160525.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2017-08-10 16:00:00,2018-06-25T00:00:00,ATAPL-69943-00001,"['141']",44.369419,-124.953576,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00001__20170602.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00001__20170602.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2018-06-25 00:00:00,2019-06-19T04:17:00,ATAPL-69943-00005,"['157']",44.369475,-124.953706,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00005__20180405.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00005__20180406.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2019-06-23 22:52:00,2020-08-18T23:40:00,ATOSU-69943-00011,"['140']",44.369458,-124.953638,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00011__20180626.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00011__20180627.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2020-08-19 02:23:26,2021-08-04T20:20:00,ATOSU-69943-00010,"['191']",44.369397,-124.953617,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00010__20190618.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00010__20190618.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2021-08-23 22:54:08,2022-08-19T06:13:00,ATOSU-69943-00011,"['140']",44.369386,-124.953624,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00011__20210409.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00011__20210409.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2022-08-20 02:22:00,2023-08-15T05:00:00,ATOSU-69943-00010,"['191']",44.369259,-124.953508,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00010__20211215.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00010__20211215.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2023-08-29 00:50:00,2024-08-15T07:25:00,ATOSU-69943-00011,"['140']",44.369344,-124.953542,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00011__20221121.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00011__20221121.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2024-08-22 15:10:00,2025-08-27T19:23:00,ATOSU-69943-00010,"['191']",44.369399,-124.953689,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATOSU-69943-00010__20240326.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATOSU-69943-00010__20211215.cal
OPTAAC,CE04OSBP-LJ01C-08-OPTAAC104,2025-08-28 03:38:00,nan,ATAPL-69943-00012,"['243']",44.369328,-124.953475,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00012__20250530.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00012__20250604.cal
OPTAAC,CE04OSPS-SF01B-3B-OPTAAD105,2016-07-19 08:00:00,2017-07-28T00:00:00,ATAPL-69943-00009,"['250']",44.374163,-124.95648,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00009__20150923.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00009__20150924.cal
OPTAAC,RS01SBPD-DP01A-05-OPTAAC102,2015-07-22 22:17:00,2016-08-09T00:00:00,ATAPL-69943-00004,"['158']",44.527636,-125.380868,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAC/ATAPL-69943-00004__20140730.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAC/ATAPL-69943-00004__20140730.cal
