sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-58332-00009,"['169']",44.636981,-124.305867,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00009__20140415.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00009__20140415.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2015-08-02 05:30:00,2016-07-21T00:00:00,ATOSU-58332-00008,"['221']",44.637185,-124.305903,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00008__20150429.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00008__20150429.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-58332-00007,"['223']",44.637179,-124.305949,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00007__20170601.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00007__20170601.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2018-06-30 02:30:00,2019-06-19T23:31:00,ATAPL-58332-00001,"['134']",44.637131,-124.30592,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATAPL-58332-00001__20180517.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATAPL-58332-00001__20180518.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-58332-00007,"['223']",44.637156,-124.305859,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00007__20190211.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00007__20190212.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-58332-00009,"['169']",44.637163,-124.305867,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00009__20190425.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00009__20190425.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-58332-00007,"['223']",44.637194,-124.305837,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00007__20210210.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00007__20210210.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2022-08-19 05:55:00,2023-08-14T19:20:00,ATOSU-58332-00009,"['169']",44.637213,-124.305724,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00009__20211020.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00009__20211021.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2023-08-22 14:50:00,2024-08-15T20:13:00,ATOSU-58332-00008,"['221']",44.637204,-124.305715,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATOSU-58332-00008__20221026.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATOSU-58332-00008__20221026.cal
OPTAAD,CE02SHBP-LJ01D-08-OPTAAD106,2024-08-19 14:55:00,2025-08-15T00:20:00,ATAPL-58332-00001,"['134']",44.637221,-124.305729,https://github.com/oceanobservatories/asset-management/tree/master/calibration/OPTAAD/ATAPL-58332-00001__20240425.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/OPTAAD/ATAPL-58332-00001__20211222.cal
