sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2014-09-02 12:30:00,2015-07-09T12:32:00,ATAPL-58333-00001,"['1']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2015-07-09 12:32:00,2016-07-23T15:43:00,ATAPL-58333-00003,"['3']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2016-07-23 17:51:00,2017-08-12T11:57:00,ATAPL-58333-00001,"['1']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2017-08-12 11:05:00,2018-06-27T22:49:00,ATAPL-58333-00003,"['3']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2018-06-27 22:12:00,2019-06-25T06:15:00,ATAPL-58333-00001,"['1']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2019-06-25 05:48:00,2020-08-19T16:12:39,ATAPL-58333-00003,"['3']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2020-08-19 16:01:47,2021-08-15T11:38:00,ATAPL-58333-00001,"['1']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2021-08-15 10:10:00,2022-08-20T14:25:16,ATAPL-58333-00003,"['3']",none,none
OSMOIA,RS01SUM2-MJ01B-00-OSMOIA101,2022-08-20 12:03:00,nan,ATAPL-58333-00001,"['1']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2014-07-28 11:03:00,2014-09-28T01:40:05,ATAPL-58333-00002,"['2']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2014-09-28 03:48:28,2015-07-08T00:00:00,ATAPL-58333-00002,"['2']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2015-07-09 12:32:00,2016-07-26T06:55:00,ATAPL-58333-00004,"['4']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2016-07-26 07:16:00,2017-08-14T08:14:00,ATAPL-58333-00002,"['2']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2017-08-15 01:04:00,2018-07-04T00:56:00,ATAPL-58333-00004,"['4']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2018-07-04 10:42:00,2019-06-16T23:55:00,ATAPL-58333-00002,"['2']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2019-07-05 05:02:00,2020-08-17T05:38:03,ATAPL-58333-00004,"['4']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2020-08-17 07:07:59,2021-08-31T00:21:00,ATAPL-58333-00002,"['2']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2021-08-31 03:18:00,2022-08-30T03:48:00,ATAPL-58333-00004,"['4']",none,none
OSMOIA,RS03ASHS-MJ03B-00-OSMOIA301,2022-08-30 05:21:00,nan,ATAPL-58333-00002,"['2']",none,none
