sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
PARADA,CE04OSPS-SF01B-3C-PARADA102,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-66645-00005,"['434']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATOSU-66645-00005__20131218.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATOSU-66645-00005__20131218.pdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2015-08-03 02:21:00,2016-07-18T00:00:00,ATAPL-66645-00004,"['507']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00004__20150424.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00004__20150424.pdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-66645-00005,"['434']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATOSU-66645-00005__20160111.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATOSU-66645-00005__20160111.pdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2017-07-29 05:00:00,2018-07-17T15:00:00,ATAPL-66645-00004,"['507']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00004__20170720.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00004__20170720.pdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-66645-00008,"['566']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATOSU-66645-00008__20171206.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATOSU-66645-00008__20171206.pdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2019-06-14 16:42:00,2020-08-01T22:29:00,ATAPL-66645-00004,"['507']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00004__20180829.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00004__20180829.pdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2020-08-02 19:43:56,2020-08-22T00:11:00,ATAPL-78452-00006,"['1404']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-78452-00006__20190212.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-78452-00006__20190212.tdf
PARADA,CE04OSPS-SF01B-3C-PARADA102,2021-08-24 17:11:39,nan,ATAPL-78452-00003,"['1401']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-78452-00003__20190212.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-78452-00003__20190212.tdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2014-09-29 04:43:00,2015-07-06T00:00:00,ATAPL-66645-00003,"['464']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00003__20140128.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00003__20140128.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2015-07-07 20:47:00,2016-07-17T00:00:00,ATAPL-66645-00006,"['556']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00006__20150428.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00006__20150428.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2016-07-18 00:19:00,2017-07-28T03:00:00,ATAPL-66645-00003,"['464']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00003__20160111.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00003__20160111.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2017-08-04 19:30:00,2018-06-24T02:00:00,ATAPL-66645-00006,"['556']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00006__20170720.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00006__20170720.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2018-06-24 02:00:00,2018-07-09T12:00:00,ATAPL-66645-00002,"['463']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00002__20171206.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00002__20171206.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2018-07-09 12:00:00,2019-06-14T05:26:00,ATAPL-66645-00003,"['464']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00003__20171130.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00003__20171130.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-66645-00006,"['556']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00006__20180731.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00006__20180731.pdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-78452-00001,"['1399']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-78452-00001__20190212.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-78452-00001__20190212.tdf
PARADA,RS01SBPS-SF01A-3C-PARADA101,2021-08-24 16:56:08,nan,ATAPL-78452-00002,"['1400']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-78452-00002__20190212.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-78452-00002__20190212.tdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2014-09-27 18:33:00,2015-07-09T00:00:00,ATAPL-66645-00002,"['463']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00002__20140128.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00002__20140128.pdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2015-07-09 04:16:00,2016-07-14T00:00:00,ATAPL-66645-00007,"['557']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00007__20150428.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00007__20150428.pdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2016-07-14 21:18:00,2017-07-30T14:00:00,ATAPL-66645-00002,"['463']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00002__20160111.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00002__20160111.pdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2017-07-31 04:00:00,2018-07-02T20:30:00,ATAPL-66645-00007,"['557']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00007__20170721.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00007__20170721.pdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2019-06-14 13:26:00,2020-08-04T18:59:10,ATAPL-66645-00007,"['557']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-66645-00007__20180829.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-66645-00007__20180829.pdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2020-08-05 15:16:07,2021-08-03T01:26:00,ATAPL-78452-00007,"['1405']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-78452-00007__20190212.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-78452-00007__20190212.tdf
PARADA,RS03AXPS-SF03A-3C-PARADA301,2021-08-04 18:00:00,nan,ATAPL-78452-00004,"['1402']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PARADA/ATAPL-78452-00004__20190212.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PARADA/ATAPL-78452-00004__20190212.tdf
