sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2014-08-30 09:16:00,2015-08-02T00:00:00,ATOSU-58336-00006,"['C0079']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00006__20140119.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00006__20140121.pdf
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2015-08-03 05:41:00,2016-07-18T00:00:00,ATOSU-58336-00008,"['C0117']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00008__20150409.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00008__20150409.pdf
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-58336-00006,"['C0079']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00006__20160418.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00006__20160418.pdf
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-58336-00008,"['C0117']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00008__20170111.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00008__20170111.pdf
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-58336-00007,"['C0116']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00007__20180108.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00007__20180108.pdf
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2019-06-14 16:42:00,2020-08-01T22:29:00,ATAPL-58336-00002,"['C0075']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATAPL-58336-00002__20171016.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATAPL-58336-00002__20171016.pdf
PCO2WA,CE04OSPS-PC01B-4D-PCO2WA105,2020-08-02 19:43:56,nan,ATOSU-58336-00006,"['C0079']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00006__20200113.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00006__20200113.pdf
PCO2WA,CE04OSPS-SF01B-4F-PCO2WA102,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-58336-00005,"['C0078']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00005__20131211.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00005__20131218.pdf
PCO2WA,CE04OSPS-SF01B-4F-PCO2WA102,2015-08-03 02:21:00,2016-07-18T00:00:00,ATOSU-58336-00007,"['C0116']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00007__20150409.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00007__20150409.pdf
PCO2WA,CE04OSPS-SF01B-4F-PCO2WA102,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-58336-00005,"['C0078']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00005__20160422.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00005__20160422.pdf
PCO2WA,CE04OSPS-SF01B-4F-PCO2WA102,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-58336-00007,"['C0116']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WA/ATOSU-58336-00007__20170117.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WA/ATOSU-58336-00007__20170117.pdf
