sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-70570-00001,"['C0064']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00001__20130311.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00001__20130311_narrowRange.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2015-08-02 05:30:00,2016-07-21T00:00:00,ATOSU-70570-00004,"['C0118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00004__20150413.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00004__20150413.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-70570-00001,"['C0064']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00001__20160513.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00001__20160513.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-70570-00004,"['C0118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00004__20170111.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00004__20170111.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2018-06-30 02:30:00,2019-06-19T23:31:00,ATOSU-70570-00002,"['C0080']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00002__20180326.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00002__20180326.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-70570-00004,"['C0118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00004__20190401.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00004__20190401.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-70570-00002,"['C0080']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00002__20200108.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00002__20200108.pdf
PCO2WB,CE02SHBP-LJ01D-09-PCO2WB103,2021-08-23 19:27:00,nan,ATOSU-70570-00004,"['C0118']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00004__20201222.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00004__20201222.pdf
PCO2WB,CE04OSBP-LJ01C-09-PCO2WB104,2014-08-15 00:12:00,2015-08-02T00:00:00,ATOSU-70570-00002,"['C0080']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00002__20140121.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00002__20140121_narrowRange.pdf
PCO2WB,CE04OSBP-LJ01C-09-PCO2WB104,2015-08-03 22:00:00,2016-07-21T00:00:00,ATOSU-70570-00003,"['C0090']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00003__20140421.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00003__20140421.pdf
PCO2WB,CE04OSBP-LJ01C-09-PCO2WB104,2016-07-22 22:50:00,2017-08-10T04:00:00,ATOSU-70570-00002,"['C0080']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PCO2WB/ATOSU-70570-00002__20160502.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/PCO2WB/ATOSU-70570-00002__20160502.pdf
