sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2014-08-30 09:16:00,2015-08-02T00:00:00,ATOSU-58337-00007,"['P0115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00007__20131218.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00007__20131218.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2015-08-03 05:41:00,2016-07-18T00:00:00,ATOSU-58337-00012,"['P0154']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00012__20150318.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00012__20150318.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-58337-00007,"['P0115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00007__20160506.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00007__20160506.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2017-07-29 05:00:00,2018-07-17T15:00:00,ATAPL-58337-00003,"['P0111']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATAPL-58337-00003__20170203.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATAPL-58337-00003__20170203.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-58337-00008,"['P0131']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00008__20171003.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00008__20171003.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2019-06-14 16:42:00,2020-08-01T22:29:00,ATAPL-58337-00003,"['P0111']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATAPL-58337-00003__20180904.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATAPL-58337-00003__20180904.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2020-08-02 19:43:56,2021-08-04T20:20:00,ATOSU-58337-00007,"['P0115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00007__20191104.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00007__20191104.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2021-08-24 17:11:39,2022-08-10T16:21:00,ATAPL-58337-00003,"['P0111']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATAPL-58337-00003__20200909.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATAPL-58337-00003__20200909.pdf
PHSENA,CE04OSPS-PC01B-4B-PHSENA106,2022-08-11 22:00:00,nan,ATOSU-58337-00007,"['P0115']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00007__20211020.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00007__20211020.pdf
PHSENA,CE04OSPS-SF01B-2B-PHSENA108,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-58337-00008,"['P0131']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/PHSENA/ATOSU-58337-00008__20140414.csv,https://github.com/OOI-CabledArray/calibrationFiles/tree/master/PHSENA/ATOSU-58337-00008__20140414.pdf
