sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-58341-00005,"['241']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATOSU-58341-00005__20130904.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATOSU-58341-00005__20130904.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2015-08-03 02:21:00,2016-07-18T00:00:00,ATOSU-58341-00008,"['251']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATOSU-58341-00008__20140123.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATOSU-58341-00008__20140123.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2016-07-19 08:00:00,2017-07-28T00:00:00,ATAPL-58341-00004,"['267']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATAPL-58341-00004__20140514.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATAPL-58341-00004__20140514.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-58341-00008,"['251']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATOSU-58341-00008__20140123.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATOSU-58341-00008__20140123.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2018-07-17 15:00:00,2019-06-13T21:54:00,ATAPL-58341-00003,"['245']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATAPL-58341-00003__20171114.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATAPL-58341-00003__20171114.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-58341-00008,"['251']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATOSU-58341-00008__20180904.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATOSU-58341-00008__20180904.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2020-08-02 19:43:56,2020-08-22T00:11:00,ATAPL-58341-00004,"['267']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATAPL-58341-00004__20191001.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATAPL-58341-00004__20191001.cal
SPKIRA,CE04OSPS-SF01B-3D-SPKIRA102,2021-08-24 17:11:39,nan,ATAPL-58341-00007,"['293']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATAPL-58341-00007__20201031.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATAPL-58341-00007__20201031.cal
SPKIRA,RS01SBPS-SF01A-3D-SPKIRA101,2014-09-29 04:43:00,2015-07-06T00:00:00,ATAPL-58341-00003,"['245']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATAPL-58341-00003__20131119.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATAPL-58341-00003__20131119.cal
SPKIRA,RS01SBPS-SF01A-3D-SPKIRA101,2015-07-07 20:47:00,2016-07-17T00:00:00,ATAPL-58341-00006,"['292']",https://github.com/oceanobservatories/asset-management/tree/master/calibration/SPKIRA/ATAPL-58341-00006__20150521.csv,https://github.com/OOI-CabledArray/calibrationFiles/blob/master/SPKIRA/ATAPL-58341-00006__20150521.cal
