sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2014-09-29 01:53:00,2015-07-06T00:00:00,ATAPL-58345-00003,"['19075', '64689']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2015-07-07 16:12:00,2016-07-17T00:00:00,ATAPL-58345-00004,"['21829', '23340']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2016-07-18 00:19:00,2017-07-28T03:00:00,ATAPL-58345-00003,"['19075', '64689']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2017-08-04 19:30:00,2018-06-24T02:00:00,ATAPL-58345-00004,"['21829', '23340']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2018-06-24 02:00:00,2019-06-14T05:26:00,ATAPL-58345-00003,"['19075', '64689']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2019-06-14 22:48:00,2020-08-02T19:41:01,ATAPL-58345-00004,"['21829', '23340']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2020-08-03 15:17:57,2021-08-04T20:20:00,ATAPL-58345-00003,"['19075', '64689']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2021-08-24 16:56:08,2022-09-02T20:45:00,ATAPL-58345-00004,"['21829', '23340']",44.528879,-125.389741,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2022-09-15 15:32:00,2023-08-17T01:24:00,ATAPL-58345-00002,"['19073', '64667']",44.528951,-125.389669,none,none
VADCPA,RS01SBPS-PC01A-06-VADCPA101,2023-08-17 20:49:00,2024-08-09T06:35:00,ATAPL-58345-00004,"['21829', '23340']",44.528951,-125.389669,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2014-09-27 13:29:00,2015-07-09T00:00:00,ATAPL-58345-00002,"['19073', '64667']",45.830481,-129.753284,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2015-07-09 00:07:00,2016-07-14T00:00:00,ATAPL-58345-00005,"['23248', '23341']",45.830481,-129.753284,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2016-07-14 21:18:00,2017-07-30T14:00:00,ATAPL-58345-00006,"['23244', '23342']",45.830481,-129.753284,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2017-07-31 04:00:00,2018-07-02T20:30:00,ATAPL-58345-00005,"['23248', '23341']",45.830481,-129.753284,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2019-06-14 13:26:00,2020-08-04T18:59:10,ATAPL-58345-00006,"['23244', '23342']",45.830466,-129.753082,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2020-08-05 15:16:07,2021-08-03T01:26:00,ATAPL-58345-00002,"['19073', '64667']",45.830466,-129.753082,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2021-08-04 18:00:00,2022-08-12T00:38:00,ATAPL-58345-00006,"['23244', '23342']",45.830466,-129.753082,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2022-08-13 00:57:00,2023-08-25T13:14:00,ATAPL-58345-00003,"['19075', '64689']",45.830466,-129.753082,none,none
VADCPA,RS03AXPS-PC03A-06-VADCPA301,2023-08-26 05:50:00,2024-08-11T15:42:00,ATAPL-58345-00001,"[' 24494', '61247']",45.830466,-129.753082,none,none
