sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2014-09-10 15:43:00,2015-08-01T00:00:00,ATOSU-69829-00003,"['VEC-5007', 'VEC-8167']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2015-08-02 05:30:00,2016-07-21T00:00:00,ATOSU-69829-00001,"['VEC-5157', 'VEC-13934']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-69829-00003,"['VEC-5007', 'VEC-8167']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2017-09-10 14:30:00,2018-06-29T02:30:00,ATOSU-69829-00001,"['VEC-5157', 'VEC-13934']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2018-06-30 02:30:00,2019-06-19T23:31:00,ATOSU-69829-00003,"['VEC-5007', 'VEC-8167']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2019-06-23 03:36:00,2020-08-12T21:24:00,ATOSU-69829-00001,"['VEC-5157', 'VEC-13934']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2020-08-25 17:34:05,2021-08-04T20:20:00,ATOSU-69829-00003,"['VEC-5007', 'VEC-8167']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-69829-00001,"['VEC-5157', 'VEC-13934']",none,none
VEL3DC,CE02SHBP-LJ01D-07-VEL3DC108,2022-08-19 05:55:00,nan,ATOSU-69829-00003,"['VEC-5007', 'VEC-8167']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2014-08-15 00:12:00,2015-08-02T00:00:00,ATOSU-69829-00004,"['VEC-4940', 'VEC-8159']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2015-08-03 22:00:00,2016-07-21T00:00:00,ATOSU-69829-00002,"['VEC-5156', 'VEC-12587']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2016-07-22 22:50:00,2017-08-10T04:00:00,ATOSU-69829-00004,"['VEC-4940', 'VEC-8159']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2017-08-10 16:00:00,2018-06-25T00:00:00,ATOSU-69829-00002,"['VEC-5156', 'VEC-12587']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2018-06-25 00:00:00,2019-06-19T04:17:00,ATOSU-69829-00004,"['VEC-4940', 'VEC-8159']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2019-06-23 22:52:00,2020-08-18T23:40:00,ATOSU-69829-00002,"['VEC-5156', 'VEC-12587']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2020-08-19 02:23:26,2021-08-04T20:20:00,ATOSU-69829-00004,"['VEC-4940', 'VEC-8159']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2021-08-23 22:54:08,2022-08-19T06:13:00,ATOSU-69829-00002,"['VEC-5156', 'VEC-12587']",none,none
VEL3DC,CE04OSBP-LJ01C-07-VEL3DC107,2022-08-20 02:22:00,nan,ATOSU-69829-00004,"['VEC-4940', 'VEC-8159']",none,none
