sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2014-08-30 21:51:00,2015-08-02T00:00:00,ATOSU-70114-10005,"['AQS-5761', 'AQD-8399']",44.374163,-124.95648,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2015-08-03 02:21:00,2016-07-18T00:00:00,ATOSU-70114-10008,"['ALD-7050', 'AQD-12692']",44.374163,-124.95648,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2016-07-19 08:00:00,2017-07-28T00:00:00,ATAPL-70114-00004,"['AQS-6802', 'AQD-11930']",44.374163,-124.95648,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-70114-10008,"['ALD-7050', 'AQD-12692']",44.374163,-124.95648,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2018-07-17 15:00:00,2019-06-13T21:54:00,ATAPL-70114-00003,"['AQS-6389', 'AQD-11641']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-70114-10008,"['ALD-7050', 'AQD-12692']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2020-08-02 19:43:56,2020-08-22T00:11:00,ATAPL-70114-00004,"['AQS-6802', 'AQD-11930']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2021-08-24 17:11:39,2022-08-10T16:21:00,ATOSU-70114-10008,"['ALD-7050', 'AQD-12692']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2022-08-11 22:00:00,2022-09-03T18:05:00,ATAPL-70114-00004,"['AQS-6802', 'AQD-11930']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2022-09-06 19:00:00,2023-08-15T13:01:00,ATAPL-70114-00006,"['AQS-7205', 'AQD-12227']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2023-08-16 15:32:00,2024-08-08T17:15:00,ATOSU-70114-10008,"['ALD-7050', 'AQD-12692']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2024-08-09 12:33:00,2025-08-04T21:40:00,ATAPL-70114-00006,"['AQS-7205', 'AQD-12227']",44.374223,-124.956501,none,none
VELPTD,CE04OSPS-SF01B-4B-VELPTD106,2025-08-05 14:35:00,nan,ATOSU-70114-10008,"['ALD-7050', 'AQD-12692']",44.369353,-124.954108,none,none
