sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2014-09-22 09:52:00,2015-08-01T00:00:00,ATOSU-63259-00004,"['1']",44.637381,-124.305531,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2015-08-02 18:12:00,2016-07-21T00:00:00,ATOSU-63259-00003,"['5']",44.63747,-124.305431,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2016-07-22 22:50:00,2017-09-09T03:30:00,ATOSU-63259-00001,"['3']",44.637418,-124.305544,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2017-09-10 14:30:00,2019-06-22T00:20:00,ATOSU-63259-00003,"['5']",44.637348,-124.305475,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2019-06-23 04:56:00,2020-08-12T20:00:00,ATOSU-63259-00001,"['3']",44.637331,-124.305494,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2020-08-15 22:27:00,2021-08-04T20:20:00,ATOSU-63259-00003,"['5']",44.637383,-124.305562,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2021-08-23 19:27:00,2022-08-18T23:51:00,ATOSU-63259-00001,"['3']",44.637392,-124.305517,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2022-08-19 14:13:00,2023-08-14T19:40:00,ATOSU-63259-00003,"['5']",44.637346,-124.305493,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2023-08-22 14:49:00,2024-08-16T00:17:00,ATAPL-90485-20002,"['2']",44.637283,-124.305496,none,none
ZPLSCB,CE02SHBP-MJ01C-07-ZPLSCB101,2024-08-19 14:55:00,nan,ATAPL-90485-20005,"['5']",44.637328,-124.305451,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2014-08-30 09:16:00,2015-08-02T00:00:00,ATOSU-63259-00001,"['3']",44.374163,-124.95648,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2015-08-03 05:41:00,2016-07-18T00:00:00,ATOSU-63259-00002,"['4']",44.374163,-124.95648,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2016-07-19 08:00:00,2017-07-28T00:00:00,ATOSU-63259-00005,"['2']",44.374163,-124.95648,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2017-07-29 05:00:00,2018-07-17T15:00:00,ATOSU-63259-00002,"['4']",44.374163,-124.95648,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2018-07-17 15:00:00,2019-06-13T21:54:00,ATOSU-63259-00005,"['2']",44.374223,-124.956501,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2019-06-14 16:42:00,2020-08-01T22:29:00,ATOSU-63259-00002,"['4']",44.374223,-124.956501,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2020-08-02 19:43:56,2021-08-04T20:20:00,ATOSU-63259-00005,"['2']",44.374223,-124.956501,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2021-08-24 17:11:39,2022-08-10T16:21:00,ATOSU-63259-00002,"['4']",44.374223,-124.956501,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2022-08-11 22:00:00,2023-08-15T13:01:00,ATOSU-63259-00004,"['1']",44.374223,-124.956501,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2023-08-16 15:32:00,2024-08-08T17:15:00,ATAPL-90485-20001,"['1']",44.374223,-124.956501,none,none
ZPLSCB,CE04OSPS-PC01B-05-ZPLSCB102,2024-08-09 12:33:00,nan,ATAPL-90485-20004,"['4']",44.374223,-124.956501,none,none
