referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE02SHBP-LJ01D-05-ADCPTB104,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-05-ADCPTB104,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-05-ADCPTB104,2017,4,44.63717932,-124.3059485,78,78
CE02SHBP-LJ01D-05-ADCPTB104,2018,5,44.6371312,-124.3059199,82,82
CE02SHBP-LJ01D-05-ADCPTB104,2019,6,44.63715567,-124.3058592,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2020,7,44.63716315,-124.3058667,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-06-CTDBPN106,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-06-CTDBPN106,2017,4,44.63717932,-124.3059485,78,78
CE02SHBP-LJ01D-06-CTDBPN106,2018,5,44.6371312,-124.3059199,82,82
CE02SHBP-LJ01D-06-CTDBPN106,2019,6,44.63715567,-124.3058592,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2020,7,44.63716315,-124.3058667,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-06-DOSTAD106,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-06-DOSTAD106,2017,4,44.63717932,-124.3059485,78,78
CE02SHBP-LJ01D-06-DOSTAD106,2018,5,44.6371312,-124.3059199,82,82
CE02SHBP-LJ01D-06-DOSTAD106,2019,6,44.63715567,-124.3058592,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2020,7,44.63716315,-124.3058667,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-07-VEL3DC108,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-07-VEL3DC108,2017,4,44.63717932,-124.3059485,78,78
CE02SHBP-LJ01D-07-VEL3DC108,2018,5,44.6371312,-124.3059199,82,82
CE02SHBP-LJ01D-07-VEL3DC108,2019,6,44.63715567,-124.3058592,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2020,7,44.63716315,-124.3058667,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-08-OPTAAD106,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-08-OPTAAD106,2017,4,44.63717932,-124.3059485,78,78
CE02SHBP-LJ01D-08-OPTAAD106,2018,5,44.6371312,-124.3059199,82,82
CE02SHBP-LJ01D-08-OPTAAD106,2019,6,44.63715567,-124.3058592,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2020,7,44.63716315,-124.3058667,81,81
CE02SHBP-LJ01D-08-OPTAAD106,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-09-PCO2WB103,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-09-PCO2WB103,2017,4,44.63717932,-124.3059485,78,78
CE02SHBP-LJ01D-09-PCO2WB103,2018,5,44.6371312,-124.3059199,82,82
CE02SHBP-LJ01D-09-PCO2WB103,2019,6,44.63715567,-124.3058592,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2020,7,44.63716315,-124.3058667,81,81
CE02SHBP-LJ01D-09-PCO2WB103,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-10-PHSEND103,2014,1,44.63698104,-124.3058667,80,80
CE02SHBP-LJ01D-10-PHSEND103,2015,2,44.63718485,-124.3059026,81,81
CE02SHBP-LJ01D-10-PHSEND103,2016,3,44.63714471,-124.3058627,80,80
CE02SHBP-LJ01D-10-PHSEND103,2017,4,44.63717932,-124.3059485,78,78
