referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE02SHBP-LJ01D-05-ADCPTB104,2014,1,44.636981,-124.305867,80,80
CE02SHBP-LJ01D-05-ADCPTB104,2015,2,44.637185,-124.305903,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2016,3,44.637145,-124.305863,80,80
CE02SHBP-LJ01D-05-ADCPTB104,2017,4,44.637179,-124.305949,78,78
CE02SHBP-LJ01D-05-ADCPTB104,2018,5,44.637131,-124.305920,82,82
CE02SHBP-LJ01D-05-ADCPTB104,2019,6,44.637156,-124.305859,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2020,7,44.637163,-124.305867,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-05-ADCPTB104,2022,9,44.637213,-124.305724,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2014,1,44.636981,-124.305867,80,80
CE02SHBP-LJ01D-06-CTDBPN106,2015,2,44.637185,-124.305903,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2016,3,44.637145,-124.305863,80,80
CE02SHBP-LJ01D-06-CTDBPN106,2017,4,44.637179,-124.305949,78,78
CE02SHBP-LJ01D-06-CTDBPN106,2018,5,44.637131,-124.305920,82,82
CE02SHBP-LJ01D-06-CTDBPN106,2019,6,44.637156,-124.305859,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2020,7,44.637163,-124.305867,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-06-CTDBPN106,2022,9,44.637213,-124.305724,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2014,1,44.636981,-124.305867,80,80
CE02SHBP-LJ01D-06-DOSTAD106,2015,2,44.637185,-124.305903,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2016,3,44.637145,-124.305863,80,80
CE02SHBP-LJ01D-06-DOSTAD106,2017,4,44.637179,-124.305949,78,78
CE02SHBP-LJ01D-06-DOSTAD106,2018,5,44.637131,-124.305920,82,82
CE02SHBP-LJ01D-06-DOSTAD106,2019,6,44.637156,-124.305859,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2020,7,44.637163,-124.305867,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D-06-DOSTAD106,2022,9,44.637213,-124.305724,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2014,1,44.636981,-124.305867,80,80
CE02SHBP-LJ01D-07-VEL3DC108,2015,2,44.637185,-124.305903,81,81
CE02SHBP-LJ01D-07-VEL3DC108,2016,3,44.637145,-124.305863,80,80
CE02SHBP-LJ01D-07-VEL3DC108,2017,4,44.637179,-124.305949,78,78
CE02SHBP-LJ01D-07-VEL3DC108,2018,5,44.637131,-124.305920,82,82
CE02SHBP-LJ01D-07-VEL3DC108,2019,6,44.637156,-124.305859,81,81
