referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE02SHBP-LJ01D,2014,1,44.636981,-124.305867,80,80
CE02SHBP-LJ01D,2015,2,44.637185,-124.305903,81,81
CE02SHBP-LJ01D,2016,3,44.637145,-124.305863,80,80
CE02SHBP-LJ01D,2017,4,44.637179,-124.305949,78,78
CE02SHBP-LJ01D,2018,5,44.637131,-124.30592,82,82
CE02SHBP-LJ01D,2019,6,44.637156,-124.305859,81,81
CE02SHBP-LJ01D,2020,7,44.637163,-124.305867,81,81
CE02SHBP-LJ01D,2021,8,44.637194,-124.305837,81,81
CE02SHBP-LJ01D,2022,9,44.637213,-124.305724,81,81
CE02SHBP-LJ01D,2023,10,44.637204,-124.3057153,81,81
CE02SHBP-MJ01C,2014,1,44.63729,-124.305619,81,81
CE02SHBP-MJ01C,2021,2,44.637304,-124.305619,82,82
CE02SHBP-PN01D,2012,1,44.691385,-124.457012,113,113
CE04OSBP-LJ01C,2014,1,44.369556,-124.953745,581,581
CE04OSBP-LJ01C,2015,2,44.369584,-124.953712,581,581
CE04OSBP-LJ01C,2016,3,44.369406,-124.95364,581,581
CE04OSBP-LJ01C,2017,4,44.369419,-124.953576,579,579
CE04OSBP-LJ01C,2018,5,44.369475,-124.953706,582,582
CE04OSBP-LJ01C,2019,6,44.369458,-124.953638,580,580
CE04OSBP-LJ01C,2020,7,44.369397,-124.953617,582,582
CE04OSBP-LJ01C,2021,8,44.369386,-124.953624,581,581
CE04OSBP-LJ01C,2022,9,44.369259,-124.953508,581,581
CE04OSBP-LJ01C,2023,10,44.36934377,-124.9535415,581,581
CE04OSBP-LV01C,2014,1,44.369338,-124.954001,582,582
CE04OSBP-LV01C,2017,2,44.369333,-124.954091,579,579
CE04OSBP-LV01C,2018,3,44.369304,-124.954143,582,582
CE04OSBP-LV01C,2020,4,44.369335,-124.954118,582,582
CE04OSBP-LV01C,2023,5,44.36933847,-124.9541247,583,583
CE04OSBP-PN01C,2012,1,44.36324,-124.962073,615,615
CE04OSBP-PN01C,2013,2,44.36365,-124.961983,615,615
CE04OSPD-DP01B,2014,1,44.368305,-124.952756,N/A,582
CE04OSPD-DP01B,2015,2,44.368527,-124.952667,N/A,582
CE04OSPD-DP01B,2016,3,44.368433,-124.953043,N/A,584
CE04OSPD-DP01B,2017,4,44.368262,-124.952751,N/A,576
CE04OSPD-DP01B,2018,5,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B,2019,6,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B,2020,7,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B,2021,8,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B,2022,9,44.368196,-124.952808,N/A,582
CE04OSPD-DP01B,2023,10,44.36823089,-124.9528472,N/A,584
CE04OSPD-PD01B,2014,1,44.368305,-124.952756,575,582
CE04OSPD-PD01B,2015,2,44.368527,-124.952667,575,582
CE04OSPD-PD01B,2016,3,44.368433,-124.953043,577,584
CE04OSPD-PD01B,2017,4,44.368262,-124.952751,569,576
CE04OSPD-PD01B,2017,5,44.368262,-124.952751,569,576
CE04OSPD-PD01B,2018,6,44.368196,-124.952808,575,582
CE04OSPD-PD01B,2023,7,44.36822605,-124.952856,,584
CE04OSPS-PC01B,2014,1,44.374163,-124.95648,193,574
CE04OSPS-PC01B,2015,2,44.374163,-124.95648,193,574
CE04OSPS-PC01B,2016,3,44.374163,-124.95648,193,574
CE04OSPS-PC01B,2017,4,44.374163,-124.95648,193,574
CE04OSPS-PC01B,2018,5,44.374224,-124.956401,199,574
CE04OSPS-PC01B,2019,6,44.374224,-124.956401,199,574
CE04OSPS-PC01B,2020,7,44.374224,-124.956401,199,574
CE04OSPS-PC01B,2021,8,44.374224,-124.956401,199,574
CE04OSPS-PC01B,2022,9,44.374224,-124.956401,199,574
CE04OSPS-PC01B,2023,10,44.374222,-124.9564,197,574
CE04OSPS-SC01B,2014,1,44.374163,-124.95648,193,574
CE04OSPS-SC01B,2015,2,44.374163,-124.95648,193,574
CE04OSPS-SC01B,2016,3,44.374163,-124.95648,193,574
CE04OSPS-SC01B,2017,4,44.374163,-124.95648,193,574
CE04OSPS-SC01B,2018,5,44.374224,-124.956401,199,574
CE04OSPS-SC01B,2019,6,44.374224,-124.956401,199,574
CE04OSPS-SC01B,2020,7,44.374224,-124.956401,199,574
CE04OSPS-SC01B,2021,8,44.374224,-124.956401,199,574
CE04OSPS-SC01B,2022,9,44.374224,-124.956401,199,574
CE04OSPS-SC01B,2023,10,44.374222,-124.9564,197,574
CE04OSPS-SF01B,2014,1,44.374163,-124.95648,N/A,574
CE04OSPS-SF01B,2015,2,44.374163,-124.95648,N/A,574
CE04OSPS-SF01B,2016,3,44.374163,-124.95648,N/A,574
